Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Exposure_Pct,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct
5,6,-3.25,-5.04,15.56,32.69,0.07,-0.15,24.92,1.03,333,50.57,0.01,27.24,-3.7
5,7,0.26,0.41,19.07,27.95,0.21,0.01,27.87,1.05,305,50.41,0.03,27.24,-4.3
5,8,2.22,3.5,21.03,30.6,0.28,0.11,26.69,1.06,281,50.27,0.03,27.24,-5.0
5,9,6.54,10.41,25.34,30.53,0.45,0.34,26.52,1.09,264,50.27,0.05,27.12,-5.09
5,10,14.67,23.87,33.47,28.33,0.73,0.84,28.16,1.15,245,50.36,0.09,27.12,-5.09
5,11,21.23,35.14,40.04,24.97,0.96,1.41,28.63,1.2,234,50.21,0.11,27.12,-5.11
5,12,28.01,47.15,46.82,24.02,1.17,1.96,29.26,1.25,229,50.05,0.14,27.12,-5.93
5,13,31.96,54.31,50.77,24.7,1.29,2.2,29.77,1.29,215,49.95,0.16,27.12,-5.93
5,14,34.09,58.23,52.9,21.75,1.35,2.68,30.73,1.31,205,50.02,0.18,27.33,-5.93
5,15,41.45,72.03,60.26,22.27,1.57,3.23,30.61,1.38,196,50.14,0.21,27.33,-5.93
5,16,34.81,59.55,53.61,22.4,1.39,2.66,30.26,1.33,195,50.14,0.19,27.33,-5.93
5,17,30.59,51.81,49.4,23.18,1.26,2.24,30.05,1.3,193,50.16,0.17,27.33,-6.55
5,18,19.95,32.92,38.76,25.01,0.92,1.32,30.6,1.22,183,50.2,0.13,26.6,-6.55
5,19,17.99,29.54,36.8,25.2,0.85,1.17,29.48,1.21,173,50.2,0.13,26.6,-6.55
5,20,19.37,31.91,38.18,24.13,0.9,1.32,28.24,1.22,170,50.11,0.14,26.6,-6.55
5,21,19.54,32.21,38.35,23.45,0.9,1.37,27.11,1.23,166,50.2,0.15,26.6,-6.55
5,22,17.51,28.71,36.32,24.31,0.83,1.18,27.16,1.21,162,50.07,0.14,26.6,-6.55
5,23,21.47,35.56,40.28,23.74,0.97,1.5,27.95,1.26,161,49.91,0.16,26.6,-6.55
5,24,21.26,35.19,40.07,24.85,0.96,1.42,28.3,1.26,159,49.8,0.16,26.6,-7.0
5,25,18.87,31.05,37.68,23.49,0.88,1.32,28.76,1.24,153,49.89,0.15,26.6,-7.0
5,26,11.34,18.3,30.15,26.79,0.62,0.68,27.92,1.16,154,49.66,0.11,26.6,-7.0
5,27,18.0,29.55,36.81,22.94,0.85,1.29,28.77,1.23,146,49.86,0.16,26.6,-7.0
5,28,7.09,11.31,25.9,26.47,0.47,0.43,27.08,1.13,144,50.02,0.09,26.6,-7.0
5,29,11.21,18.08,30.01,23.7,0.62,0.76,28.87,1.17,142,50.0,0.12,26.6,-7.0
5,30,11.13,17.95,29.94,24.45,0.62,0.73,28.37,1.17,141,49.84,0.12,26.6,-4.6
5,31,9.86,15.84,28.67,25.82,0.57,0.61,28.37,1.16,141,49.98,0.11,26.6,-4.6
5,32,7.23,11.53,26.03,28.09,0.47,0.41,27.94,1.13,136,50.14,0.09,26.6,-4.6
5,33,11.46,18.5,30.27,25.32,0.63,0.73,28.68,1.18,136,50.07,0.12,26.6,-4.6
5,34,11.64,18.79,30.45,24.33,0.64,0.77,28.26,1.18,138,50.02,0.12,26.6,-4.6
5,35,11.4,18.4,30.21,24.69,0.63,0.75,28.46,1.18,130,49.86,0.13,27.13,-4.6
5,36,12.51,20.26,31.32,24.64,0.67,0.82,27.2,1.19,125,49.77,0.14,27.13,-4.6
5,37,13.77,22.35,32.57,24.09,0.71,0.93,26.61,1.21,124,49.7,0.15,27.13,-4.6
5,38,16.49,26.97,35.3,22.93,0.81,1.18,27.27,1.24,121,49.41,0.17,27.13,-4.6
5,39,16.04,26.2,34.85,22.95,0.79,1.14,27.27,1.24,121,49.12,0.17,27.15,-4.6
5,40,17.61,28.89,36.42,21.53,0.85,1.34,27.5,1.26,120,49.11,0.18,27.15,-4.6
5,41,15.28,24.91,34.09,22.7,0.77,1.1,27.27,1.23,121,49.11,0.16,27.15,-4.6
5,42,15.7,25.63,34.51,22.4,0.78,1.14,27.35,1.24,117,48.96,0.17,27.15,-4.6
5,43,19.12,31.49,37.93,21.55,0.9,1.46,28.32,1.29,113,48.93,0.21,27.9,-4.6
5,44,22.13,36.71,40.94,21.03,1.0,1.75,29.63,1.33,108,48.93,0.24,27.9,-4.6
5,45,21.1,34.92,39.91,21.67,0.97,1.61,29.09,1.32,110,48.88,0.23,27.9,-4.6
5,46,13.17,21.34,31.97,25.03,0.69,0.85,28.57,1.23,112,48.91,0.16,27.9,-4.6
5,47,9.94,15.98,28.75,25.45,0.58,0.63,28.32,1.18,113,48.84,0.13,27.9,-4.6
5,48,14.18,23.05,32.98,24.6,0.73,0.94,28.83,1.24,111,48.86,0.17,27.9,-4.6
5,49,17.3,28.36,36.11,23.49,0.84,1.21,29.63,1.28,108,48.89,0.2,27.9,-4.6
5,50,19.09,31.43,37.9,22.54,0.9,1.39,29.52,1.31,105,48.88,0.22,27.9,-4.6
5,51,18.74,30.83,37.55,23.9,0.89,1.29,27.88,1.3,104,48.93,0.22,27.9,-4.6
5,52,16.25,26.56,35.06,25.54,0.8,1.04,26.92,1.27,104,48.84,0.2,27.9,-4.6
5,53,12.8,20.74,31.61,25.87,0.68,0.8,28.0,1.23,100,48.8,0.17,27.9,-4.6
5,54,14.98,24.4,33.79,24.12,0.76,1.01,28.57,1.26,98,48.75,0.2,27.9,-4.6
5,55,17.3,28.35,36.11,23.84,0.84,1.19,29.47,1.3,95,48.75,0.22,27.9,-4.6
5,56,15.48,25.25,34.29,24.9,0.78,1.01,29.17,1.28,96,48.66,0.2,27.9,-4.6
5,57,15.12,24.64,33.93,24.63,0.76,1.0,29.17,1.27,96,48.57,0.2,27.9,-4.6
5,58,16.73,27.37,35.54,23.79,0.82,1.15,28.72,1.3,94,48.46,0.22,27.9,-4.6
5,59,15.74,25.68,34.54,24.21,0.78,1.06,29.03,1.29,93,48.39,0.21,27.9,-4.6
5,60,14.67,23.87,33.47,24.76,0.75,0.96,28.26,1.27,92,48.23,0.21,27.9,-4.68
5,61,15.66,25.56,34.47,24.78,0.78,1.03,28.57,1.29,91,48.25,0.22,27.9,-4.68
5,62,9.34,14.98,28.14,29.6,0.56,0.51,27.47,1.19,91,48.2,0.16,27.9,-4.68
5,63,9.63,15.46,28.44,30.15,0.57,0.51,28.57,1.19,91,48.09,0.16,27.9,-4.68
5,64,7.29,11.63,26.1,31.72,0.48,0.37,26.6,1.16,94,48.04,0.13,27.9,-4.68
