Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Expectancy_Pct,Total_Trades,Avg_Holding_Hours,Avg_Win_Pct,Avg_Loss_Pct,Win_Loss_Ratio,Max_Cons_Wins,Max_Cons_Losses,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Best_Month,Worst_Month,Peak_Time,MDD_Trough_Time,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
5,6,-3.25,-5.04,15.56,32.69,0.07,0.08,-0.15,24.92,1.03,0.01,333,8.5,2.13,-0.69,3.09,5,16,27.24,-3.7,50.57,4,4,Aug_2026 (+20.94%),May_2026 (-14.95%),2026-01-05T01:00:00,2026-06-26T09:00:00,-7.84,-5.89,6.01,6.94,-14.95,-13.43,10.5,20.94
5,7,0.26,0.41,19.07,27.95,0.21,0.23,0.01,27.87,1.05,0.03,305,9.3,2.02,-0.75,2.71,5,13,27.24,-4.3,50.41,4,4,Aug_2026 (+18.75%),May_2026 (-14.72%),2026-01-06T14:00:00,2026-06-26T09:00:00,-7.93,-5.12,5.98,7.29,-14.72,-7.87,8.19,18.75
5,8,2.22,3.5,21.03,30.6,0.28,0.3,0.11,26.69,1.06,0.03,281,10.0,2.25,-0.77,2.92,3,10,27.24,-5.0,50.27,5,3,Aug_2026 (+18.38%),May_2026 (-15.05%),2026-04-22T13:00:00,2026-06-26T09:00:00,-3.41,0.49,3.05,9.05,-15.05,-13.59,7.84,18.38
5,9,6.54,10.41,25.34,30.53,0.45,0.47,0.34,26.52,1.09,0.05,264,10.7,2.35,-0.78,3.03,3,11,27.12,-5.09,50.27,5,3,Aug_2026 (+18.08%),May_2026 (-15.28%),2026-04-22T13:00:00,2026-06-29T08:00:00,-4.56,3.03,7.85,5.37,-15.28,-13.69,10.42,18.08
5,10,14.67,23.87,33.47,28.33,0.73,0.77,0.84,28.16,1.15,0.09,245,11.5,2.33,-0.8,2.94,4,11,27.12,-5.09,50.36,5,3,Aug_2026 (+17.34%),Jun_2026 (-13.02%),2026-03-17T01:00:00,2026-06-29T08:00:00,-1.4,8.1,5.91,3.49,-12.81,-13.02,10.31,17.34
5,11,21.23,35.14,40.04,24.97,0.96,1.02,1.41,28.63,1.2,0.11,234,12.0,2.35,-0.79,2.99,3,17,27.12,-5.11,50.21,6,2,Aug_2026 (+16.37%),May_2026 (-12.53%),2026-04-22T13:00:00,2026-08-19T02:00:00,0.64,8.32,6.32,5.57,-12.53,-10.29,8.48,16.37
5,12,28.01,47.15,46.82,24.02,1.17,1.25,1.96,29.26,1.25,0.14,229,12.2,2.35,-0.78,3.03,3,17,27.12,-5.93,50.05,6,2,Aug_2026 (+15.62%),May_2026 (-10.52%),2026-08-22T00:00:00,2026-08-19T02:00:00,0.23,6.84,7.53,9.87,-10.52,-9.4,7.96,15.62
5,13,31.96,54.31,50.77,24.7,1.29,1.37,2.2,29.77,1.29,0.16,215,13.0,2.45,-0.81,3.03,3,14,27.12,-5.93,49.95,6,2,Aug_2026 (+16.70%),Jun_2026 (-11.13%),2026-05-04T04:00:00,2026-07-01T10:00:00,0.11,8.0,9.32,10.42,-10.48,-11.13,8.9,16.7
5,14,34.09,58.23,52.9,21.75,1.35,1.43,2.68,30.73,1.31,0.18,205,13.7,2.47,-0.84,2.94,3,14,27.33,-5.93,50.02,6,2,Aug_2026 (+16.34%),Jun_2026 (-9.33%),2026-08-22T00:00:00,2026-08-19T02:00:00,1.39,8.01,7.08,9.33,-8.46,-9.33,8.32,16.34
5,15,41.45,72.03,60.26,22.27,1.57,1.69,3.23,30.61,1.38,0.21,196,14.3,2.51,-0.8,3.13,3,13,27.33,-5.93,50.14,6,2,Aug_2026 (+17.39%),Jun_2026 (-10.93%),2026-08-22T00:00:00,2026-07-01T10:00:00,6.29,8.82,7.45,9.35,-7.79,-10.93,7.96,17.39
5,16,34.81,59.55,53.61,22.4,1.39,1.48,2.66,30.26,1.33,0.19,195,14.4,2.52,-0.82,3.06,3,14,27.33,-5.93,50.14,6,2,Aug_2026 (+18.15%),Jun_2026 (-11.12%),2026-08-22T00:00:00,2026-07-01T10:00:00,4.66,5.92,4.27,10.45,-7.74,-11.12,8.98,18.15
