Logic,Fast_EMA,Slow_EMA,Strategy_Note,Y_Factor,Y_Value,X_Pct,Fixed_Add_USD,Max_Possible_Adds,Initial_Capital,Final_Equity,Total_Return_Pct,Max_Drawdown_Pct,Sharpe,Win_Rate_Pct,Profit_Factor,Total_Closed_Trades,Total_Series_Adds,Avg_Adds_Per_Trade,Base_Return_Pct,Alpha_vs_Base_Pct,Alpha_vs_BH_Pct,Pyramid_Added_Pct,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
EMA_CROSS_SAR,198,233.0,"[EMA_CROSS_SAR] EMA(198,233.0) | Y=BARS_ELAPSED(1) X=10%",BARS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
EMA_CROSS_SAR,198,234.0,"[EMA_CROSS_SAR] EMA(198,234.0) | Y=HOURS_ELAPSED(1) X=10%",HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17036.21,70.36,16.35,2.31,43.75,4.52,16,136,8.5,101.71,-31.35,89.04,-31.35,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,16.9
EMA_CROSS_SAR,199,232.0,"[EMA_CROSS_SAR] EMA(199,232.0) | Y=BARS_ELAPSED(1) X=10%",BARS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
EMA_CROSS_SAR,199,233.0,"[EMA_CROSS_SAR] EMA(199,233.0) | Y=HOURS_ELAPSED(1) X=10%",HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17036.21,70.36,16.35,2.31,43.75,4.52,16,136,8.5,101.71,-31.35,89.04,-31.35,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,16.9
EMA_CROSS_SAR,199,234.0,"[EMA_CROSS_SAR] EMA(199,234.0) | Y=BARS_ELAPSED(1) X=5%",BARS_ELAPSED,1.0,5,500.0,20,10000.0,16899.83,69.0,16.53,2.28,43.75,4.08,16,266,16.6,100.26,-31.26,87.68,-31.26,16.06,13.42,-7.84,4.63,2.73,14.92,-1.68,15.53
EMA_CROSS_SAR,200,231.0,"[EMA_CROSS_SAR] EMA(200,231.0) | Y=HOURS_ELAPSED(1) X=10%",HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
EMA_CROSS_SAR,200,234.0,"[EMA_CROSS_SAR] EMA(200,234.0) | Y=BARS_ELAPSED(1) X=5%",BARS_ELAPSED,1.0,5,500.0,20,10000.0,16859.68,68.6,16.42,2.27,43.75,4.05,16,266,16.6,100.34,-31.74,87.28,-31.74,16.06,13.42,-7.84,4.63,2.8,14.91,-1.76,15.28
EMA_CROSS_SAR,201,230.0,"[EMA_CROSS_SAR] EMA(201,230.0) | Y=BARS_ELAPSED(1) X=10%",BARS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
EMA_CROSS_SAR,202,229.0,"[EMA_CROSS_SAR] EMA(202,229.0) | Y=HOURS_ELAPSED(1) X=10%",HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
EMA_CROSS_SAR,203,228.0,"[EMA_CROSS_SAR] EMA(203,228.0) | Y=HOURS_ELAPSED(1) X=10%",HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
EMA_CROSS_SAR,204,227.0,"[EMA_CROSS_SAR] EMA(204,227.0) | Y=HOURS_ELAPSED(1) X=10%",HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
EMA_CROSS_SAR,205,226.0,"[EMA_CROSS_SAR] EMA(205,226.0) | Y=BARS_ELAPSED(1) X=10%",BARS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
EMA_CROSS_SAR,205,227.0,"[EMA_CROSS_SAR] EMA(205,227.0) | Y=BARS_ELAPSED(1) X=5%",BARS_ELAPSED,1.0,5,500.0,20,10000.0,17021.52,70.22,16.53,2.31,44.44,4.15,18,268,14.9,100.08,-29.86,88.9,-29.86,16.06,13.42,-7.84,4.63,2.73,14.92,-1.68,16.36
EMA_CROSS_SAR,206,225.0,"[EMA_CROSS_SAR] EMA(206,225.0) | Y=BARS_ELAPSED(1) X=10%",BARS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
EMA_CROSS_SAR,207,224.0,"[EMA_CROSS_SAR] EMA(207,224.0) | Y=HOURS_ELAPSED(1) X=10%",HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
EMA_CROSS_SAR,208,223.0,"[EMA_CROSS_SAR] EMA(208,223.0) | Y=HOURS_ELAPSED(1) X=10%",HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
EMA_CROSS_SAR,208,224.0,"[EMA_CROSS_SAR] EMA(208,224.0) | Y=BARS_ELAPSED(1) X=5%",BARS_ELAPSED,1.0,5,500.0,20,10000.0,16920.75,69.21,16.53,2.29,43.75,4.08,16,266,16.6,102.39,-33.18,87.89,-33.18,16.06,13.42,-7.84,4.63,2.73,14.92,-1.68,15.67
EMA_CROSS_SAR,209,222.0,"[EMA_CROSS_SAR] EMA(209,222.0) | Y=BARS_ELAPSED(1) X=10%",BARS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
