Strategy_Note,Logic,Fast_EMA,Slow_EMA,Y_Factor,Y_Value,X_Pct,Fixed_Add_USD,Max_Possible_Adds,Initial_Capital,Final_Equity,Total_Return_Pct,Max_Drawdown_Pct,Sharpe,Win_Rate_Pct,Profit_Factor,Total_Closed_Trades,Total_Series_Adds,Avg_Adds_Per_Trade,Base_Return_Pct,Alpha_vs_Base_Pct,Alpha_vs_BH_Pct,Pyramid_Added_Pct,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=5%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,5,500.0,20,10000.0,16920.75,69.21,16.53,2.29,43.75,4.08,16,266,16.6,102.39,-33.18,87.89,-33.18,16.06,13.42,-7.84,4.63,2.73,14.92,-1.68,15.67
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=10%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,10,1000.0,10,10000.0,16894.86,68.95,16.35,2.27,43.75,4.31,16,136,8.5,102.39,-33.44,87.63,-33.44,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,15.93
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=15%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,15,1500.0,6,10000.0,16520.75,65.21,15.21,2.3,43.75,4.4,16,86,5.4,102.39,-37.18,83.89,-37.18,15.24,12.84,-5.7,3.45,1.72,13.62,-1.18,14.76
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=20%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,20,2000.0,5,10000.0,16667.67,66.68,17.31,2.22,43.75,4.45,16,71,4.4,102.39,-35.71,85.36,-35.71,13.58,11.56,-5.66,3.8,1.86,15.47,-1.26,16.52
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=25%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,25,2500.0,4,10000.0,16572.41,65.72,17.64,2.24,43.75,4.56,16,56,3.5,102.39,-36.67,84.4,-36.67,12.89,10.89,-5.21,3.66,1.73,15.63,-1.27,16.87
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=30%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,30,3000.0,3,10000.0,16649.91,66.5,15.56,2.34,43.75,4.72,16,44,2.8,102.39,-35.89,85.18,-35.89,15.51,12.77,-4.66,3.13,1.36,13.55,-1.18,15.02
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=50%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,50,5000.0,2,10000.0,15964.18,59.64,18.95,2.06,43.75,5.05,16,29,1.8,102.39,-42.75,78.32,-42.75,8.62,7.53,-3.29,3.74,1.45,16.49,-1.56,18.05
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(2) X=5%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,2.0,5,500.0,20,10000.0,16346.33,63.46,19.37,2.15,43.75,3.72,16,264,16.5,102.39,-38.93,82.14,-38.93,14.84,13.54,-7.79,2.48,2.44,15.53,-1.87,15.02
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(2) X=10%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,2.0,10,1000.0,10,10000.0,16739.5,67.4,16.94,2.24,43.75,4.06,16,134,8.4,102.39,-34.99,86.08,-34.99,14.96,12.87,-7.78,4.55,2.73,15.14,-1.66,15.87
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(2) X=15%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,2.0,15,1500.0,6,10000.0,16397.51,63.98,15.17,2.27,43.75,4.18,16,83,5.2,102.39,-38.41,82.66,-38.41,14.93,12.92,-6.64,3.68,2.2,13.67,-1.2,14.45
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(2) X=20%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,2.0,20,2000.0,5,10000.0,16553.64,65.54,17.04,2.19,43.75,4.25,16,69,4.3,102.39,-36.85,84.22,-36.85,13.42,11.61,-6.62,4.05,2.23,15.55,-1.32,16.32
