Strategy_Note,Logic,Fast_EMA,Slow_EMA,Y_Factor,Y_Value,X_Pct,Fixed_Add_USD,Max_Possible_Adds,Initial_Capital,Final_Equity,Total_Return_Pct,Max_Drawdown_Pct,Sharpe,Win_Rate_Pct,Profit_Factor,Total_Closed_Trades,Total_Series_Adds,Avg_Adds_Per_Trade,Base_Return_Pct,Alpha_vs_Base_Pct,Alpha_vs_BH_Pct,Pyramid_Added_Pct,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
"[EMA_CROSS_SAR] EMA(207,224.0) | Y=HOURS_ELAPSED(1) X=10%",EMA_CROSS_SAR,207,224.0,HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
"[EMA_CROSS_SAR] EMA(199,232.0) | Y=HOURS_ELAPSED(1) X=10%",EMA_CROSS_SAR,199,232.0,HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
"[EMA_CROSS_SAR] EMA(203,228.0) | Y=HOURS_ELAPSED(1) X=10%",EMA_CROSS_SAR,203,228.0,HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
"[EMA_CROSS_SAR] EMA(205,226.0) | Y=HOURS_ELAPSED(1) X=10%",EMA_CROSS_SAR,205,226.0,HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
"[EMA_CROSS_SAR] EMA(202,229.0) | Y=HOURS_ELAPSED(1) X=10%",EMA_CROSS_SAR,202,229.0,HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
"[EMA_CROSS_SAR] EMA(201,230.0) | Y=HOURS_ELAPSED(1) X=10%",EMA_CROSS_SAR,201,230.0,HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
"[EMA_CROSS_SAR] EMA(204,227.0) | Y=HOURS_ELAPSED(1) X=10%",EMA_CROSS_SAR,204,227.0,HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
"[EMA_CROSS_SAR] EMA(208,223.0) | Y=HOURS_ELAPSED(1) X=10%",EMA_CROSS_SAR,208,223.0,HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
"[EMA_CROSS_SAR] EMA(198,233.0) | Y=HOURS_ELAPSED(1) X=10%",EMA_CROSS_SAR,198,233.0,HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
"[EMA_CROSS_SAR] EMA(210,221.0) | Y=HOURS_ELAPSED(1) X=10%",EMA_CROSS_SAR,210,221.0,HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,17059.93,70.6,16.35,2.31,43.75,4.58,16,136,8.5,100.35,-29.75,89.28,-29.75,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,17.06
