Strategy_Note,Logic,Fast_EMA,Slow_EMA,Y_Factor,Y_Value,X_Pct,Fixed_Add_USD,Max_Possible_Adds,Initial_Capital,Final_Equity,Total_Return_Pct,Max_Drawdown_Pct,Sharpe,Win_Rate_Pct,Profit_Factor,Total_Closed_Trades,Total_Series_Adds,Avg_Adds_Per_Trade,Base_Return_Pct,Alpha_vs_Base_Pct,Alpha_vs_BH_Pct,Pyramid_Added_Pct,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
"[EMA_CROSS_SAR] EMA(205,227.0) | Y=PRICE_FROM_LAST_PCT(0.5) X=30%",EMA_CROSS_SAR,205,227.0,PRICE_FROM_LAST_PCT,0.5,30,3000.0,3,10000.0,16254.53,62.55,15.99,2.26,44.44,3.66,18,39,2.2,100.08,-37.53,81.23,-37.53,14.58,12.95,-6.2,0.07,4.58,13.94,-2.35,15.68
"[EMA_CROSS_SAR] EMA(206,225.0) | Y=PRICE_FROM_LAST_PCT(0.5) X=30%",EMA_CROSS_SAR,206,225.0,PRICE_FROM_LAST_PCT,0.5,30,3000.0,3,10000.0,16202.85,62.03,15.99,2.25,43.75,3.65,16,37,2.3,100.35,-38.32,80.71,-38.32,14.58,12.95,-6.2,0.07,4.58,13.94,-2.35,15.31
"[EMA_CROSS_SAR] EMA(204,227.0) | Y=PRICE_FROM_LAST_PCT(0.5) X=30%",EMA_CROSS_SAR,204,227.0,PRICE_FROM_LAST_PCT,0.5,30,3000.0,3,10000.0,16202.85,62.03,15.99,2.25,43.75,3.65,16,37,2.3,100.35,-38.32,80.71,-38.32,14.58,12.95,-6.2,0.07,4.58,13.94,-2.35,15.31
"[EMA_CROSS_SAR] EMA(199,232.0) | Y=PRICE_FROM_LAST_PCT(0.5) X=30%",EMA_CROSS_SAR,199,232.0,PRICE_FROM_LAST_PCT,0.5,30,3000.0,3,10000.0,16202.85,62.03,15.99,2.25,43.75,3.65,16,37,2.3,100.35,-38.32,80.71,-38.32,14.58,12.95,-6.2,0.07,4.58,13.94,-2.35,15.31
"[EMA_CROSS_SAR] EMA(198,233.0) | Y=PRICE_FROM_LAST_PCT(0.5) X=30%",EMA_CROSS_SAR,198,233.0,PRICE_FROM_LAST_PCT,0.5,30,3000.0,3,10000.0,16202.85,62.03,15.99,2.25,43.75,3.65,16,37,2.3,100.35,-38.32,80.71,-38.32,14.58,12.95,-6.2,0.07,4.58,13.94,-2.35,15.31
"[EMA_CROSS_SAR] EMA(202,229.0) | Y=PRICE_FROM_LAST_PCT(0.5) X=30%",EMA_CROSS_SAR,202,229.0,PRICE_FROM_LAST_PCT,0.5,30,3000.0,3,10000.0,16202.85,62.03,15.99,2.25,43.75,3.65,16,37,2.3,100.35,-38.32,80.71,-38.32,14.58,12.95,-6.2,0.07,4.58,13.94,-2.35,15.31
"[EMA_CROSS_SAR] EMA(209,222.0) | Y=PRICE_FROM_LAST_PCT(0.5) X=30%",EMA_CROSS_SAR,209,222.0,PRICE_FROM_LAST_PCT,0.5,30,3000.0,3,10000.0,16202.85,62.03,15.99,2.25,43.75,3.65,16,37,2.3,100.35,-38.32,80.71,-38.32,14.58,12.95,-6.2,0.07,4.58,13.94,-2.35,15.31
"[EMA_CROSS_SAR] EMA(201,230.0) | Y=PRICE_FROM_LAST_PCT(0.5) X=30%",EMA_CROSS_SAR,201,230.0,PRICE_FROM_LAST_PCT,0.5,30,3000.0,3,10000.0,16202.85,62.03,15.99,2.25,43.75,3.65,16,37,2.3,100.35,-38.32,80.71,-38.32,14.58,12.95,-6.2,0.07,4.58,13.94,-2.35,15.31
"[EMA_CROSS_SAR] EMA(200,231.0) | Y=PRICE_FROM_LAST_PCT(0.5) X=30%",EMA_CROSS_SAR,200,231.0,PRICE_FROM_LAST_PCT,0.5,30,3000.0,3,10000.0,16202.85,62.03,15.99,2.25,43.75,3.65,16,37,2.3,100.35,-38.32,80.71,-38.32,14.58,12.95,-6.2,0.07,4.58,13.94,-2.35,15.31
"[EMA_CROSS_SAR] EMA(208,223.0) | Y=PRICE_FROM_LAST_PCT(0.5) X=30%",EMA_CROSS_SAR,208,223.0,PRICE_FROM_LAST_PCT,0.5,30,3000.0,3,10000.0,16202.85,62.03,15.99,2.25,43.75,3.65,16,37,2.3,100.35,-38.32,80.71,-38.32,14.58,12.95,-6.2,0.07,4.58,13.94,-2.35,15.31
