Strategy_Note,Logic,Fast_EMA,Slow_EMA,Y_Factor,Y_Value,X_Pct,Fixed_Add_USD,Max_Possible_Adds,Initial_Capital,Final_Equity,Total_Return_Pct,Max_Drawdown_Pct,Sharpe,Win_Rate_Pct,Profit_Factor,Total_Closed_Trades,Total_Series_Adds,Avg_Adds_Per_Trade,Base_Return_Pct,Alpha_vs_Base_Pct,Alpha_vs_BH_Pct,Pyramid_Added_Pct,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
"[EMA_CROSS_SAR] EMA(205,227.0) | Y=PRICE_FROM_START_PCT(0.5) X=5%",EMA_CROSS_SAR,205,227.0,PRICE_FROM_START_PCT,0.5,5,500.0,20,10000.0,16473.6,64.74,17.89,2.19,44.44,2.97,18,227,12.6,100.08,-35.34,83.42,-35.34,13.87,13.77,-9.08,-0.67,8.3,15.58,-2.45,16.08
"[EMA_CROSS_SAR] EMA(205,227.0) | Y=PRICE_FROM_START_PCT(1.0) X=10%",EMA_CROSS_SAR,205,227.0,PRICE_FROM_START_PCT,1.0,10,1000.0,10,10000.0,16465.98,64.66,17.73,2.19,44.44,2.96,18,101,5.6,100.08,-35.42,83.34,-35.42,13.31,13.1,-9.43,-0.6,8.47,15.76,-2.6,17.5
"[EMA_CROSS_SAR] EMA(200,234.0) | Y=PRICE_FROM_START_PCT(0.5) X=5%",EMA_CROSS_SAR,200,234.0,PRICE_FROM_START_PCT,0.5,5,500.0,20,10000.0,16445.03,64.45,17.84,2.18,43.75,2.86,16,206,12.9,100.34,-35.89,83.13,-35.89,13.87,13.77,-9.08,-0.67,8.35,15.57,-2.46,15.85
"[EMA_CROSS_SAR] EMA(198,234.0) | Y=PRICE_FROM_START_PCT(0.5) X=5%",EMA_CROSS_SAR,198,234.0,PRICE_FROM_START_PCT,0.5,5,500.0,20,10000.0,16432.85,64.33,17.89,2.18,43.75,2.94,16,225,14.1,101.71,-37.38,83.01,-37.38,13.87,13.77,-9.08,-0.67,8.3,15.58,-2.45,15.79
"[EMA_CROSS_SAR] EMA(199,233.0) | Y=PRICE_FROM_START_PCT(0.5) X=5%",EMA_CROSS_SAR,199,233.0,PRICE_FROM_START_PCT,0.5,5,500.0,20,10000.0,16432.85,64.33,17.89,2.18,43.75,2.94,16,225,14.1,101.71,-37.38,83.01,-37.38,13.87,13.77,-9.08,-0.67,8.3,15.58,-2.45,15.79
"[EMA_CROSS_SAR] EMA(201,230.0) | Y=PRICE_FROM_START_PCT(0.5) X=5%",EMA_CROSS_SAR,201,230.0,PRICE_FROM_START_PCT,0.5,5,500.0,20,10000.0,16429.59,64.3,17.89,2.18,43.75,2.95,16,228,14.2,100.35,-36.05,82.98,-36.05,13.87,13.77,-9.08,-0.67,8.3,15.58,-2.45,15.77
"[EMA_CROSS_SAR] EMA(202,229.0) | Y=PRICE_FROM_START_PCT(0.5) X=5%",EMA_CROSS_SAR,202,229.0,PRICE_FROM_START_PCT,0.5,5,500.0,20,10000.0,16429.59,64.3,17.89,2.18,43.75,2.95,16,228,14.2,100.35,-36.05,82.98,-36.05,13.87,13.77,-9.08,-0.67,8.3,15.58,-2.45,15.77
"[EMA_CROSS_SAR] EMA(203,228.0) | Y=PRICE_FROM_START_PCT(0.5) X=5%",EMA_CROSS_SAR,203,228.0,PRICE_FROM_START_PCT,0.5,5,500.0,20,10000.0,16429.59,64.3,17.89,2.18,43.75,2.95,16,228,14.2,100.35,-36.05,82.98,-36.05,13.87,13.77,-9.08,-0.67,8.3,15.58,-2.45,15.77
"[EMA_CROSS_SAR] EMA(207,224.0) | Y=PRICE_FROM_START_PCT(0.5) X=5%",EMA_CROSS_SAR,207,224.0,PRICE_FROM_START_PCT,0.5,5,500.0,20,10000.0,16429.59,64.3,17.89,2.18,43.75,2.95,16,228,14.2,100.35,-36.05,82.98,-36.05,13.87,13.77,-9.08,-0.67,8.3,15.58,-2.45,15.77
"[EMA_CROSS_SAR] EMA(200,231.0) | Y=PRICE_FROM_START_PCT(0.5) X=5%",EMA_CROSS_SAR,200,231.0,PRICE_FROM_START_PCT,0.5,5,500.0,20,10000.0,16429.59,64.3,17.89,2.18,43.75,2.95,16,228,14.2,100.35,-36.05,82.98,-36.05,13.87,13.77,-9.08,-0.67,8.3,15.58,-2.45,15.77
