Logic,Fast_EMA,Slow_EMA,Total_Ret_Pct,CAGR_Pct,Alpha_Pct,Max_DD_Pct,Sharpe,Sortino,Calmar,Win_Rate_Pct,Profit_Factor,Expectancy_Pct,Total_Trades,Avg_Hold_Hours,Exposure_Pct,Fees_Applied_Pct,Pos_Months,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
PRICE_EMA_LONG_ONLY,82,N/A,17.54,28.77,36.22,23.46,0.85,0.92,1.23,20.65,1.28,0.14,155,16.9,46.82,15.5,5,6.72,-2.54,2.88,4.17,-10.58,-8.53,6.59,20.96
PRICE_EMA_LONG_ONLY,84,N/A,16.79,27.48,35.47,22.57,0.82,0.89,1.22,20.26,1.27,0.14,153,17.1,46.75,15.3,5,6.72,-2.62,1.03,4.58,-9.68,-8.34,6.59,20.55
PRICE_EMA_LONG_ONLY,78,N/A,16.39,26.79,35.06,22.05,0.81,0.88,1.22,20.37,1.26,0.13,162,16.2,47.0,16.2,5,6.01,-4.25,4.37,4.09,-10.92,-7.04,6.04,20.2
PRICE_EMA_LONG_ONLY,83,N/A,16.38,26.79,35.06,23.02,0.81,0.87,1.16,20.0,1.26,0.13,155,16.9,46.8,15.5,5,6.72,-2.89,1.64,4.07,-9.98,-8.53,6.59,20.96
PRICE_EMA_LONG_ONLY,85,N/A,15.83,25.85,34.51,23.18,0.79,0.85,1.12,19.74,1.26,0.13,152,17.2,46.68,15.2,5,6.6,-2.72,1.22,4.58,-9.52,-9.23,6.59,20.55
PRICE_EMA_LONG_ONLY,79,N/A,15.44,25.18,34.12,22.63,0.77,0.84,1.11,20.25,1.25,0.12,163,16.1,46.93,16.3,5,6.01,-4.25,4.37,4.09,-11.13,-7.52,6.04,20.12
PRICE_EMA_LONG_ONLY,80,N/A,15.0,24.44,33.68,23.21,0.76,0.82,1.05,20.89,1.24,0.12,158,16.6,46.86,15.8,5,6.72,-4.25,3.08,3.6,-11.0,-7.91,6.54,20.69
PRICE_EMA_LONG_ONLY,87,N/A,14.83,24.14,33.5,23.92,0.75,0.81,1.01,19.74,1.24,0.13,152,17.2,46.61,15.2,5,6.8,-3.34,1.35,3.43,-9.71,-9.41,6.67,21.61
PRICE_EMA_LONG_ONLY,86,N/A,14.07,22.87,32.75,24.19,0.73,0.78,0.95,19.61,1.23,0.12,153,17.1,46.64,15.3,5,6.8,-2.72,1.22,3.3,-10.08,-9.23,6.59,20.71
PRICE_EMA_LONG_ONLY,77,N/A,13.2,21.4,31.87,24.15,0.7,0.75,0.89,19.25,1.22,0.11,161,16.4,47.23,16.1,5,6.15,-4.15,4.37,4.26,-11.23,-7.68,3.46,20.58
PRICE_EMA_LONG_ONLY,103,N/A,13.02,21.1,31.7,24.21,0.69,0.73,0.87,17.78,1.23,0.13,135,18.9,45.66,13.5,5,5.02,-6.52,2.31,6.29,-6.04,-13.08,6.48,21.73
PRICE_EMA_LONG_ONLY,76,N/A,12.74,20.63,31.41,24.38,0.68,0.74,0.85,19.02,1.21,0.11,163,16.2,47.14,16.3,5,6.15,-4.79,5.38,3.85,-11.38,-7.26,2.84,20.58
PRICE_EMA_LONG_ONLY,81,N/A,12.6,20.41,31.28,24.04,0.67,0.73,0.85,20.75,1.21,0.11,159,16.5,46.84,15.9,5,6.72,-4.55,2.36,3.48,-11.26,-8.53,6.3,20.96
PRICE_EMA_LONG_ONLY,105,N/A,12.31,19.91,30.99,23.58,0.67,0.7,0.84,18.18,1.22,0.13,132,19.3,45.59,13.2,5,5.39,-7.54,2.16,5.75,-5.74,-12.74,6.56,21.73
PRICE_EMA_LONG_ONLY,102,N/A,11.63,18.77,30.3,24.96,0.64,0.68,0.75,17.65,1.21,0.12,136,18.8,45.62,13.6,5,5.02,-7.05,2.31,6.86,-7.29,-12.78,6.48,21.47
PRICE_EMA_LONG_ONLY,104,N/A,11.54,18.63,30.21,24.21,0.64,0.67,0.77,17.65,1.21,0.12,136,18.8,45.66,13.6,5,5.02,-7.91,2.49,6.41,-6.16,-13.08,6.49,21.73
PRICE_EMA_LONG_ONLY,96,N/A,10.9,17.58,29.58,25.22,0.61,0.65,0.7,18.92,1.2,0.1,148,17.4,45.88,14.8,5,4.76,-7.57,4.16,5.42,-7.67,-12.38,5.53,22.17
PRICE_EMA_LONG_ONLY,95,N/A,10.75,17.32,29.43,25.81,0.61,0.65,0.67,19.58,1.2,0.11,143,18.0,45.86,14.3,5,5.07,-6.85,4.16,4.61,-8.4,-12.38,5.92,22.17
PRICE_EMA_LONG_ONLY,99,N/A,10.75,17.31,29.42,24.99,0.61,0.64,0.69,17.02,1.2,0.11,141,18.2,45.73,14.1,5,5.02,-6.3,2.31,6.29,-7.54,-12.26,5.15,21.33
PRICE_EMA_LONG_ONLY,109,N/A,10.64,17.14,29.32,23.93,0.61,0.64,0.72,16.79,1.2,0.12,131,19.4,45.36,13.1,5,4.15,-9.07,2.03,5.38,-5.37,-11.42,5.79,22.53
PRICE_EMA_LONG_ONLY,107,N/A,10.54,16.97,29.22,24.26,0.6,0.63,0.7,17.42,1.2,0.12,132,19.3,45.41,13.2,5,5.44,-10.26,2.03,5.75,-5.5,-11.91,6.15,22.53
PRICE_EMA_LONG_ONLY,88,N/A,10.46,16.84,29.14,26.52,0.6,0.64,0.64,19.08,1.19,0.1,152,17.2,46.57,15.2,5,6.97,-3.34,1.68,3.43,-9.94,-12.27,5.73,21.61
PRICE_EMA_LONG_ONLY,106,N/A,10.08,16.21,28.76,24.08,0.59,0.61,0.67,17.29,1.19,0.11,133,19.2,45.52,13.3,5,5.39,-9.29,2.16,5.75,-5.47,-12.74,6.15,21.73
PRICE_EMA_LONG_ONLY,74,N/A,10.02,16.1,28.69,26.52,0.58,0.63,0.61,18.24,1.17,0.09,170,15.6,47.27,17.0,5,5.2,-2.97,4.97,3.59,-11.38,-8.0,1.69,19.57
PRICE_EMA_LONG_ONLY,101,N/A,9.91,15.93,28.59,25.64,0.58,0.61,0.62,17.14,1.19,0.11,140,18.3,45.73,14.0,5,5.02,-7.64,2.31,6.53,-7.29,-13.3,6.48,21.47
