Logic,Fast_EMA,Slow_EMA,Total_Ret_Pct,CAGR_Pct,Alpha_Pct,Max_DD_Pct,Sharpe,Sortino,Calmar,Win_Rate_Pct,Profit_Factor,Expectancy_Pct,Total_Trades,Avg_Hold_Hours,Exposure_Pct,Fees_Applied_Pct,Pos_Months,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
PRICE_EMA_SAR,82,N/A,74.57,139.06,93.25,29.47,1.77,2.56,4.72,19.68,1.45,0.22,310,18.1,100.0,31.0,5,38.11,15.06,-0.14,2.34,-8.6,5.66,-2.56,14.21
PRICE_EMA_SAR,78,N/A,72.37,134.37,91.05,28.47,1.74,2.51,4.72,19.14,1.43,0.21,324,17.3,100.0,32.4,6,36.41,11.1,2.64,2.28,-9.01,8.92,-3.37,13.13
PRICE_EMA_SAR,84,N/A,71.97,133.51,90.64,29.66,1.73,2.5,4.5,19.61,1.44,0.22,306,18.3,100.0,30.6,5,38.11,14.88,-3.52,3.04,-7.03,6.1,-2.56,13.44
PRICE_EMA_SAR,83,N/A,71.12,131.71,89.79,29.47,1.72,2.48,4.47,19.35,1.43,0.22,310,18.1,100.0,31.0,5,38.11,14.37,-2.45,2.14,-7.54,5.66,-2.56,14.21
PRICE_EMA_SAR,79,N/A,69.74,128.8,88.42,29.23,1.7,2.45,4.41,19.02,1.41,0.2,326,17.2,100.0,32.6,6,36.41,11.1,2.64,2.28,-9.43,7.91,-3.37,12.98
PRICE_EMA_SAR,85,N/A,68.96,127.16,87.64,31.02,1.69,2.43,4.1,19.41,1.43,0.22,304,18.4,100.0,30.4,5,37.93,14.63,-3.26,3.04,-6.78,4.04,-2.56,13.44
PRICE_EMA_SAR,80,N/A,67.65,124.4,86.32,28.75,1.67,2.4,4.33,19.62,1.41,0.2,316,17.7,100.0,31.6,6,38.11,11.1,0.15,1.31,-9.35,7.1,-2.55,13.82
PRICE_EMA_SAR,87,N/A,66.03,121.01,84.7,29.97,1.64,2.36,4.04,19.08,1.42,0.21,304,18.4,100.0,30.4,5,38.46,13.16,-3.0,0.89,-7.27,3.75,-2.41,15.33
PRICE_EMA_SAR,86,N/A,64.03,116.88,82.71,30.91,1.61,2.32,3.78,18.95,1.4,0.21,306,18.3,100.0,30.6,5,38.46,14.63,-3.26,0.74,-7.94,4.04,-2.56,13.64
PRICE_EMA_SAR,77,N/A,62.85,114.44,81.53,32.24,1.59,2.28,3.55,18.63,1.38,0.19,322,17.4,100.0,32.2,6,36.52,11.23,2.64,2.52,-9.64,7.55,-7.96,13.96
