direction,entry_time,entry_price,exit_time,exit_price,duration,pnl,reason
SHORT,2026-01-01T00:00,2979.81,2026-01-01T01:00,2984.32,1,-0.25,Signal flip
LONG,2026-01-01T01:00,2984.32,2026-01-01T07:00,2978.53,6,-0.29,Signal flip
SHORT,2026-01-01T07:00,2978.53,2026-01-01T08:00,2982.59,1,-0.24,Signal flip
LONG,2026-01-01T08:00,2982.59,2026-01-21T05:00,2993.03,477,0.25,Signal flip
SHORT,2026-01-21T05:00,2993.03,2026-03-04T12:00,2054.33,1015,45.59,Signal flip
LONG,2026-03-04T12:00,2054.33,2026-03-26T23:00,2060.43,539,0.2,Signal flip
SHORT,2026-03-26T23:00,2060.43,2026-04-06T20:00,2148.81,261,-4.21,Signal flip
LONG,2026-04-06T20:00,2148.81,2026-04-30T01:00,2269.35,557,5.51,Signal flip
SHORT,2026-04-30T01:00,2269.35,2026-05-04T02:00,2374.73,97,-4.54,Signal flip
LONG,2026-05-04T02:00,2374.73,2026-05-12T16:00,2263.83,206,-4.77,Signal flip
SHORT,2026-05-12T16:00,2263.83,2026-07-03T22:00,1757.52,1254,28.71,Signal flip
LONG,2026-07-03T22:00,1757.52,2026-08-02T23:00,1885.36,721,7.17,Signal flip
SHORT,2026-08-02T23:00,1885.36,2026-08-06T12:00,1899.09,85,-0.82,Signal flip
LONG,2026-08-06T12:00,1899.09,2026-08-14T01:00,1889.41,181,-0.61,Signal flip
SHORT,2026-08-14T01:00,1889.41,2026-08-18T03:00,1894.69,98,-0.38,Signal flip
LONG,2026-08-18T03:00,1894.69,2026-08-22T08:00,2423.3,101,27.8,Dataset end
