direction,entry_time,entry_price,exit_time,exit_price,duration,pnl,reason
SHORT,2026-01-01T00:00,2979.81,2026-01-01T01:00,2984.32,1,-0.25,Signal flip
LONG,2026-01-01T01:00,2984.32,2026-01-01T03:00,2980.0,2,-0.24,Signal flip
SHORT,2026-01-01T03:00,2980.0,2026-01-01T05:00,2981.49,2,-0.15,Signal flip
LONG,2026-01-01T05:00,2981.49,2026-01-01T06:00,2975.89,1,-0.29,Signal flip
SHORT,2026-01-01T06:00,2975.89,2026-01-01T08:00,2982.59,2,-0.32,Signal flip
LONG,2026-01-01T08:00,2982.59,2026-01-01T13:00,2982.96,5,-0.09,Signal flip
SHORT,2026-01-01T13:00,2982.96,2026-01-01T14:00,2985.15,1,-0.17,Signal flip
LONG,2026-01-01T14:00,2985.15,2026-01-01T16:00,2982.29,2,-0.2,Signal flip
SHORT,2026-01-01T16:00,2982.29,2026-01-01T17:00,2990.44,1,-0.37,Signal flip
LONG,2026-01-01T17:00,2990.44,2026-01-03T04:00,3116.61,35,4.12,Signal flip
SHORT,2026-01-03T04:00,3116.61,2026-01-03T12:00,3105.04,8,0.27,Signal flip
LONG,2026-01-03T12:00,3105.04,2026-01-03T13:00,3103.03,1,-0.16,Signal flip
SHORT,2026-01-03T13:00,3103.03,2026-01-03T14:00,3106.0,1,-0.2,Signal flip
LONG,2026-01-03T14:00,3106.0,2026-01-03T15:00,3101.31,1,-0.25,Signal flip
SHORT,2026-01-03T15:00,3101.31,2026-01-03T16:00,3107.03,1,-0.28,Signal flip
LONG,2026-01-03T16:00,3107.03,2026-01-04T08:00,3138.61,16,0.92,Signal flip
SHORT,2026-01-04T08:00,3138.61,2026-01-04T09:00,3143.78,1,-0.26,Signal flip
LONG,2026-01-04T09:00,3143.78,2026-01-04T11:00,3139.54,2,-0.23,Signal flip
SHORT,2026-01-04T11:00,3139.54,2026-01-04T13:00,3140.76,2,-0.14,Signal flip
LONG,2026-01-04T13:00,3140.76,2026-01-04T14:00,3137.26,1,-0.21,Signal flip
SHORT,2026-01-04T14:00,3137.26,2026-01-04T16:00,3139.11,2,-0.16,Signal flip
LONG,2026-01-04T16:00,3139.11,2026-01-04T17:00,3137.5,1,-0.15,Signal flip
SHORT,2026-01-04T17:00,3137.5,2026-01-04T20:00,3142.09,3,-0.25,Signal flip
LONG,2026-01-04T20:00,3142.09,2026-01-05T05:00,3149.93,9,0.15,Signal flip
SHORT,2026-01-05T05:00,3149.93,2026-01-05T08:00,3163.62,3,-0.53,Signal flip
LONG,2026-01-05T08:00,3163.62,2026-01-05T13:00,3154.39,5,-0.39,Signal flip
SHORT,2026-01-05T13:00,3154.39,2026-01-05T14:00,3167.0,1,-0.5,Signal flip
LONG,2026-01-05T14:00,3167.0,2026-01-06T00:00,3216.1,10,1.45,Signal flip
SHORT,2026-01-06T00:00,3216.1,2026-01-06T01:00,3218.32,1,-0.17,Signal flip
LONG,2026-01-06T01:00,3218.32,2026-01-06T02:00,3217.1,1,-0.14,Signal flip
SHORT,2026-01-06T02:00,3217.1,2026-01-06T03:00,3225.1,1,-0.35,Signal flip
LONG,2026-01-06T03:00,3225.1,2026-01-06T05:00,3218.72,2,-0.3,Signal flip
SHORT,2026-01-06T05:00,3218.72,2026-01-06T06:00,3241.15,1,-0.79,Signal flip
LONG,2026-01-06T06:00,3241.15,2026-01-06T07:00,3219.24,1,-0.78,Signal flip
SHORT,2026-01-06T07:00,3219.24,2026-01-06T09:00,3223.0,2,-0.22,Signal flip
LONG,2026-01-06T09:00,3223.0,2026-01-06T17:00,3196.43,8,-0.92,Signal flip
SHORT,2026-01-06T17:00,3196.43,2026-01-06T20:00,3241.71,3,-1.5,Signal flip
