Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Exposure_Pct,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct
5,15,41.45,72.03,60.26,22.27,1.57,3.23,30.61,1.38,196,50.14,0.21,27.33,-5.93
208,224,37.83,65.18,56.63,16.89,1.57,3.86,62.5,7.67,8,49.79,4.48,27.69,-4.67
209,223,37.83,65.18,56.63,16.89,1.57,3.86,62.5,7.67,8,49.79,4.48,27.69,-4.67
198,234,37.6,64.75,56.4,16.89,1.56,3.83,62.5,7.64,8,49.71,4.46,27.69,-4.67
199,233,37.6,64.75,56.4,16.89,1.56,3.83,62.5,7.64,8,49.71,4.46,27.69,-4.67
198,233,37.13,63.88,55.94,16.89,1.55,3.78,62.5,7.57,8,49.68,4.41,27.69,-4.67
199,232,37.13,63.88,55.94,16.89,1.55,3.78,62.5,7.57,8,49.68,4.41,27.69,-4.67
200,231,37.13,63.88,55.94,16.89,1.55,3.78,62.5,7.57,8,49.68,4.41,27.69,-4.67
201,230,37.13,63.88,55.94,16.89,1.55,3.78,62.5,7.57,8,49.68,4.41,27.69,-4.67
202,229,37.13,63.88,55.94,16.89,1.55,3.78,62.5,7.57,8,49.68,4.41,27.69,-4.67
203,228,37.13,63.88,55.94,16.89,1.55,3.78,62.5,7.57,8,49.68,4.41,27.69,-4.67
204,227,37.13,63.88,55.94,16.89,1.55,3.78,62.5,7.57,8,49.68,4.41,27.69,-4.67
205,226,37.13,63.88,55.94,16.89,1.55,3.78,62.5,7.57,8,49.68,4.41,27.69,-4.67
206,225,37.13,63.88,55.94,16.89,1.55,3.78,62.5,7.57,8,49.68,4.41,27.69,-4.67
207,224,37.13,63.88,55.94,16.89,1.55,3.78,62.5,7.57,8,49.68,4.41,27.69,-4.67
208,223,37.13,63.88,55.94,16.89,1.55,3.78,62.5,7.57,8,49.68,4.41,27.69,-4.67
209,222,37.13,63.88,55.94,16.89,1.55,3.78,62.5,7.57,8,49.68,4.41,27.69,-4.67
210,221,37.13,63.88,55.94,16.89,1.55,3.78,62.5,7.57,8,49.68,4.41,27.69,-4.67
200,234,37.12,63.86,55.93,16.89,1.55,3.78,62.5,8.08,8,49.86,4.41,27.79,-4.13
203,229,37.1,63.83,55.91,16.89,1.55,3.78,55.56,7.07,9,49.75,3.92,27.69,-4.67
204,228,37.1,63.83,55.91,16.89,1.55,3.78,55.56,7.07,9,49.75,3.92,27.69,-4.67
205,227,37.1,63.83,55.91,16.89,1.55,3.78,55.56,7.07,9,49.75,3.92,27.69,-4.67
206,226,37.1,63.83,55.91,16.89,1.55,3.78,55.56,7.07,9,49.75,3.92,27.69,-4.67
207,225,37.1,63.83,55.91,16.89,1.55,3.78,55.56,7.07,9,49.75,3.92,27.69,-4.67
199,234,37.09,63.81,55.9,16.89,1.55,3.78,62.5,7.57,8,49.82,4.41,27.79,-4.67
201,233,37.01,63.65,55.82,16.89,1.55,3.77,62.5,8.06,8,49.84,4.4,27.69,-4.13
200,232,36.99,63.61,55.8,16.89,1.55,3.77,55.56,7.06,9,49.73,3.91,27.69,-4.67
201,231,36.99,63.61,55.8,16.89,1.55,3.77,55.56,7.06,9,49.73,3.91,27.69,-4.67
