Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Expectancy_Pct,Total_Trades,Avg_Holding_Hours,Avg_Win_Pct,Avg_Loss_Pct,Win_Loss_Ratio,Max_Cons_Wins,Max_Cons_Losses,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Best_Month,Worst_Month,Peak_Time,MDD_Trough_Time,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
5,15,41.45,72.03,60.26,22.27,1.57,1.69,3.23,30.61,1.38,0.21,196,14.3,2.51,-0.8,3.13,3,13,27.33,-5.93,50.14,6,2,Aug_2026 (+17.39%),Jun_2026 (-10.93%),2026-08-22T00:00:00,2026-07-01T10:00:00,6.29,8.82,7.45,9.35,-7.79,-10.93,7.96,17.39
208,224,37.83,65.18,56.63,16.89,1.57,1.63,3.86,62.5,7.67,4.48,8,348.5,8.24,-1.79,4.6,3,1,27.69,-4.67,49.79,5,1,Aug_2026 (+28.59%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.59
209,223,37.83,65.18,56.63,16.89,1.57,1.63,3.86,62.5,7.67,4.48,8,348.5,8.24,-1.79,4.6,3,1,27.69,-4.67,49.79,5,1,Aug_2026 (+28.59%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.59
198,234,37.6,64.75,56.4,16.89,1.56,1.62,3.83,62.5,7.64,4.46,8,348.0,8.21,-1.79,4.58,3,1,27.69,-4.67,49.71,5,1,Aug_2026 (+28.38%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.38
199,233,37.6,64.75,56.4,16.89,1.56,1.62,3.83,62.5,7.64,4.46,8,348.0,8.21,-1.79,4.58,3,1,27.69,-4.67,49.71,5,1,Aug_2026 (+28.38%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.38
198,233,37.13,63.88,55.94,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,347.8,8.14,-1.79,4.54,3,1,27.69,-4.67,49.68,5,1,Aug_2026 (+27.94%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
199,232,37.13,63.88,55.94,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,347.8,8.14,-1.79,4.54,3,1,27.69,-4.67,49.68,5,1,Aug_2026 (+27.94%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
200,231,37.13,63.88,55.94,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,347.8,8.14,-1.79,4.54,3,1,27.69,-4.67,49.68,5,1,Aug_2026 (+27.94%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
201,230,37.13,63.88,55.94,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,347.8,8.14,-1.79,4.54,3,1,27.69,-4.67,49.68,5,1,Aug_2026 (+27.94%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
202,229,37.13,63.88,55.94,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,347.8,8.14,-1.79,4.54,3,1,27.69,-4.67,49.68,5,1,Aug_2026 (+27.94%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
