Fast_EMA,Slow_EMA,Total_Return_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Pos_Months,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
ETH,Hold,-18.81,55.0,-0.62,4,-17.71,-19.88,7.17,7.22,-11.1,-21.67,18.49,29.89
5,15,41.45,22.27,1.57,6,6.29,8.82,7.45,9.35,-7.79,-10.93,7.96,17.39
208,224,37.83,16.89,1.57,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.59
209,223,37.83,16.89,1.57,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.59
198,234,37.6,16.89,1.56,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.38
199,233,37.6,16.89,1.56,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.38
198,233,37.13,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
199,232,37.13,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
200,231,37.13,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
201,230,37.13,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
202,229,37.13,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
203,228,37.13,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
204,227,37.13,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
205,226,37.13,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
206,225,37.13,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
207,224,37.13,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
208,223,37.13,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
209,222,37.13,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
210,221,37.13,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.94
200,234,37.12,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.13,0.0,5.94,27.27
203,229,37.1,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.92
204,228,37.1,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.92
205,227,37.1,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.92
206,226,37.1,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.92
207,225,37.1,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.92
199,234,37.09,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.91
201,233,37.01,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.13,0.0,5.94,27.17
200,232,36.99,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
201,231,36.99,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
202,230,36.99,16.89,1.55,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
200,233,36.99,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
201,232,36.99,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
202,231,36.99,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
210,222,36.99,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
211,221,36.99,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
212,220,36.99,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
213,219,36.99,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
214,218,36.99,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
215,217,36.99,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
203,230,36.93,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.81
204,229,36.93,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.81
205,228,36.93,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.81
206,227,36.93,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.81
207,226,36.73,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
208,225,36.73,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
209,224,36.73,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
210,223,36.73,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
211,222,36.73,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
212,221,36.73,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
213,220,36.73,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
214,219,36.73,16.89,1.54,5,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
