Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Exposure_Pct,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct
43,69,-20.94,-30.76,-2.13,43.87,-0.77,-0.7,28.95,0.76,38,46.52,-0.48,27.27,-6.5
54,62,-20.59,-30.28,-1.78,43.75,-0.76,-0.69,25.0,0.76,40,46.02,-0.44,27.27,-5.99
57,59,-20.49,-30.13,-1.68,43.68,-0.76,-0.69,25.0,0.77,40,46.04,-0.44,27.27,-5.99
56,60,-20.49,-30.13,-1.68,43.68,-0.76,-0.69,25.0,0.77,40,46.04,-0.44,27.27,-5.99
55,61,-20.49,-30.13,-1.68,43.68,-0.76,-0.69,25.0,0.77,40,46.04,-0.44,27.27,-5.99
55,60,-20.43,-30.06,-1.62,43.64,-0.75,-0.69,25.64,0.76,39,46.05,-0.45,27.27,-6.15
54,61,-20.43,-30.06,-1.62,43.64,-0.75,-0.69,25.64,0.76,39,46.05,-0.45,27.27,-6.15
57,58,-20.43,-30.06,-1.62,43.64,-0.75,-0.69,25.64,0.76,39,46.05,-0.45,27.27,-6.15
56,59,-20.43,-30.06,-1.62,43.64,-0.75,-0.69,25.64,0.76,39,46.05,-0.45,27.27,-6.15
51,62,-20.35,-29.94,-1.54,43.45,-0.75,-0.69,25.0,0.77,40,46.34,-0.44,27.27,-6.15
53,62,-20.27,-29.84,-1.46,43.52,-0.75,-0.69,25.0,0.77,40,46.05,-0.43,27.27,-6.15
44,68,-20.24,-29.8,-1.43,43.38,-0.74,-0.69,28.21,0.78,39,46.55,-0.44,27.27,-6.15
42,71,-20.21,-29.75,-1.4,43.35,-0.74,-0.69,25.64,0.77,39,46.46,-0.44,27.27,-6.5
53,63,-20.16,-29.69,-1.35,43.45,-0.74,-0.68,25.0,0.77,40,46.07,-0.43,27.27,-5.99
52,64,-20.16,-29.69,-1.35,43.45,-0.74,-0.68,25.0,0.77,40,46.07,-0.43,27.27,-5.99
41,71,-20.15,-29.67,-1.34,43.31,-0.73,-0.68,29.73,0.78,37,46.45,-0.46,27.27,-6.5
55,57,-20.12,-29.63,-1.31,43.29,-0.73,-0.68,25.0,0.77,40,46.43,-0.43,27.27,-6.15
50,63,-20.0,-29.47,-1.19,43.21,-0.73,-0.68,25.0,0.77,40,46.38,-0.43,27.27,-6.15
48,66,-19.95,-29.4,-1.15,43.17,-0.73,-0.68,25.64,0.77,39,46.32,-0.43,27.27,-6.15
48,65,-19.95,-29.39,-1.14,43.17,-0.73,-0.68,26.32,0.77,38,46.45,-0.44,27.27,-6.15
