strategy,total_return_pct,net_pnl_usd,final_equity,max_drawdown_pct,sharpe,sortino,calmar,win_rate_pct,profit_factor,expectancy_pct,total_trades,avg_hold_hours,exposure_pct,fees_applied_pct,method,fast_ema,slow_ema
EMA_SAR_100_200,33.94,3394.23,13394.23,25.55,1.29,1.7,3.14,32.5,1.15,0.2,194,22.3,99.6,19.4,Method 1: SAR,100,200.0
EMA_SAR_50_200,27.49,2749.33,12749.33,26.79,1.12,1.49,2.36,28.4,1.09,0.11,306,14.1,99.6,30.6,Method 1: SAR,50,200.0
EMA_SAR_209_223,14.43,1443.04,11443.04,47.59,0.75,0.98,0.66,33.6,1.09,0.15,140,30.9,99.6,14.0,Method 1: SAR,209,223.0
EMA_SAR_207_224,13.17,1316.6,11316.6,47.53,0.72,0.93,0.6,33.6,1.08,0.15,140,30.9,99.6,14.0,Method 1: SAR,207,224.0
EMA_SAR_20_200,-39.62,-3961.84,6038.16,53.34,-1.4,-1.85,-1.2,20.9,0.85,-0.07,478,9.1,99.6,47.8,Method 1: SAR,20,200.0
EMA_SAR_50_100,-44.91,-4490.58,5509.42,54.41,-1.66,-2.18,-1.29,24.6,0.83,-0.1,472,9.2,99.6,47.2,Method 1: SAR,50,100.0
EMA_SAR_20_100,-51.3,-5129.67,4870.33,55.98,-2.03,-2.7,-1.37,22.1,0.82,-0.09,712,6.1,99.6,71.2,Method 1: SAR,20,100.0
EMA_CONFIRMED_209_223,-58.41,-5841.27,4158.73,66.96,-2.99,-3.49,-1.24,13.3,0.75,-0.07,1109,3.0,75.4,110.9,Method 2: Cross+Price,209,223.0
EMA_CONFIRMED_207_224,-59.86,-5986.06,4013.94,67.44,-3.12,-3.64,-1.25,13.2,0.74,-0.08,1110,2.9,75.3,111.0,Method 2: Cross+Price,207,224.0
EMA_SAR_20_50,-72.72,-7271.8,2728.2,74.42,-3.87,-5.18,-1.25,22.8,0.75,-0.11,1122,3.9,99.6,112.2,Method 1: SAR,20,50.0
EMA_CONFIRMED_100_200,-75.96,-7596.38,2403.62,77.25,-5.1,-6.0,-1.22,13.9,0.71,-0.08,1670,1.8,70.2,167.0,Method 2: Cross+Price,100,200.0
SINGLE_EMA_200,-85.35,-8535.16,1464.84,86.07,-6.0,-8.18,-1.14,10.5,0.66,-0.09,2086,2.1,99.6,208.6,Method 3: Single EMA,200,
EMA_SAR_12_26,-85.94,-8593.63,1406.37,86.24,-5.95,-8.39,-1.14,21.9,0.72,-0.09,1952,2.2,99.6,195.2,Method 1: SAR,12,26.0
EMA_CONFIRMED_50_200,-89.28,-8928.18,1071.82,89.65,-8.27,-9.54,-1.1,13.7,0.66,-0.09,2453,1.1,64.4,245.3,Method 2: Cross+Price,50,200.0
EMA_SAR_9_21,-91.53,-9153.13,846.87,91.78,-7.53,-10.75,-1.08,21.3,0.71,-0.09,2497,1.7,99.6,249.7,Method 1: SAR,9,21.0
EMA_CONFIRMED_50_100,-93.09,-9309.02,690.98,93.33,-9.69,-11.5,-1.07,13.7,0.62,-0.1,2536,1.2,69.5,253.6,Method 2: Cross+Price,50,100.0
SINGLE_EMA_100,-96.05,-9605.24,394.76,96.23,-10.09,-14.31,-1.04,11.1,0.58,-0.1,3146,1.4,99.6,314.6,Method 3: Single EMA,100,
SINGLE_EMA_82,-97.84,-9783.56,216.44,97.91,-11.98,-16.99,-1.02,11.4,0.56,-0.11,3531,1.2,99.6,353.1,Method 3: Single EMA,82,
EMA_CONFIRMED_20_200,-97.87,-9786.83,213.17,97.9,-14.68,-16.55,-1.02,14.9,0.58,-0.1,3869,0.7,58.2,386.9,Method 2: Cross+Price,20,200.0
EMA_CONFIRMED_20_100,-98.17,-9816.58,183.42,98.19,-14.86,-17.32,-1.02,15.3,0.56,-0.1,3986,0.7,62.2,398.6,Method 2: Cross+Price,20,100.0
EMA_CONFIRMED_20_50,-98.63,-9863.24,136.76,98.63,-15.48,-18.78,-1.01,16.4,0.55,-0.1,4191,0.7,67.3,419.1,Method 2: Cross+Price,20,50.0
SINGLE_EMA_50,-99.19,-9919.46,80.54,99.21,-15.02,-21.63,-1.01,12.9,0.54,-0.1,4601,0.9,99.6,460.1,Method 3: Single EMA,50,
EMA_CONFIRMED_12_26,-99.68,-9967.72,32.28,99.68,-20.27,-25.69,-1.0,17.8,0.49,-0.1,5635,0.5,69.2,563.5,Method 2: Cross+Price,12,26.0
EMA_CONFIRMED_9_21,-99.88,-9988.14,11.86,99.88,-23.84,-30.57,-1.0,18.0,0.49,-0.1,6631,0.5,69.1,663.1,Method 2: Cross+Price,9,21.0
SINGLE_EMA_20,-99.9,-9990.03,9.97,99.9,-21.97,-31.46,-1.0,15.0,0.49,-0.1,6860,0.6,94.4,686.0,Method 3: Single EMA,20,
