Strategy,Timeframe,Fast_EMA,Slow_EMA,Method,Initial_Capital,Final_Equity,Net_PnL_USD,Total_Return_Pct,CAGR_Pct,Alpha_vs_ETH_Pct,Max_Drawdown_Pct,Max_Drawdown_USD,Avg_Drawdown_Pct,Peak_Equity_Time,MDD_Trough_Time,Max_DD_Duration_Hours,Recovery_Factor,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Composite_Score,Total_Trades,Win_Rate_Pct,Loss_Rate_Pct,Profit_Factor,Expectancy_Pct,Expectancy_USD,Avg_Win_Pct,Avg_Loss_Pct,Payoff_Ratio,Max_Cons_Wins,Max_Cons_Losses,Best_Trade_Pct,Worst_Trade_Pct,Avg_Holding_Hours,Long_Trades_Count,Long_Win_Rate_Pct,Long_Net_PnL_USD,Short_Trades_Count,Short_Win_Rate_Pct,Short_Net_PnL_USD,Exposure_Pct,Total_Fees_USD,Fee_Drag_Pct,Pos_Months,Neg_Months,Best_Month,Worst_Month,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun
EMA_SAR_70_190_5m,5m,70,190,Stop-and-Reverse (SAR),10000.0,15675.41,5675.41,56.75,147.56,103.85,20.99,4106.48,7.03,2026-06-08T21:40,2026-06-30T06:25,1862.1,1.38,1.82,2.42,7.03,1.02,72.5,260,30.8,69.2,1.22,0.21,21.83,2.86,0.95,3.02,3,10,22.55,-4.53,16.7,130,31.5,-614.66,130,30.0,6290.12,99.9,2600.0,26.0,5,1,Jan (+25.96%),May (-5.85%),25.96,20.59,2.22,4.73,-5.85,2.39
EMA_SAR_65_195_5m,5m,65,195,Stop-and-Reverse (SAR),10000.0,15573.6,5573.6,55.74,144.33,102.84,22.37,4424.58,6.93,2026-06-08T21:40,2026-06-30T06:25,1616.3,1.26,1.79,2.39,6.45,1.02,69.9,266,30.5,69.5,1.2,0.2,20.95,2.86,0.94,3.04,4,12,22.95,-4.72,16.3,133,31.6,-731.7,133,29.3,6305.26,99.9,2660.0,26.6,4,2,Jan (+30.43%),May (-7.38%),30.43,21.13,3.9,3.05,-7.38,-0.6
EMA_SAR_20_30_30m,30m,20,30,Stop-and-Reverse (SAR),10000.0,15559.41,5559.41,55.59,143.9,102.69,19.83,3498.21,8.71,2026-06-24T17:30,2026-06-02T08:00,1735.5,1.59,1.81,2.5,7.26,1.04,71.6,186,33.9,66.1,1.25,0.29,29.89,3.24,1.23,2.65,3,10,22.1,-7.09,23.2,93,34.4,-636.02,93,33.3,6195.41,99.4,1860.0,18.6,4,2,Jan (+27.55%),May (-4.62%),27.55,13.44,8.96,-4.56,-4.62,8.4
EMA_SAR_60_190_5m,5m,60,190,Stop-and-Reverse (SAR),10000.0,15238.48,5238.48,52.38,133.84,99.48,21.15,4030.54,7.72,2026-06-08T21:40,2026-06-30T06:25,1872.3,1.3,1.72,2.3,6.33,1.02,70.6,288,29.5,70.5,1.19,0.18,18.19,2.75,0.89,3.07,3,13,22.92,-4.49,15.1,144,29.2,-732.26,144,29.9,5970.72,99.9,2880.0,28.8,5,1,Jan (+28.11%),May (-8.88%),28.11,23.54,0.72,3.97,-8.88,0.91
EMA_SAR_55_200_5m,5m,55,200,Stop-and-Reverse (SAR),10000.0,15136.01,5136.01,51.36,130.68,98.46,20.52,3842.57,8.1,2026-06-08T21:40,2026-06-29T16:50,1885.2,1.34,1.7,2.27,6.37,1.02,70.3,280,30.0,70.0,1.18,0.18,18.34,2.81,0.94,2.98,3,11,22.92,-4.33,15.5,140,30.0,-828.35,140,30.0,5964.43,99.9,2800.0,28.0,5,1,Jan (+31.74%),May (-10.99%),31.74,16.83,4.28,4.96,-10.99,0.94
EMA_SAR_65_190_5m,5m,65,190,Stop-and-Reverse (SAR),10000.0,15076.05,5076.05,50.76,128.84,97.86,21.81,4145.77,7.6,2026-06-08T21:40,2026-06-30T06:25,1884.8,1.22,1.68,2.25,5.91,1.02,69.8,270,31.1,68.9,1.18,0.19,18.8,2.75,0.95,2.9,4,12,22.85,-4.72,16.1,135,31.1,-856.18,135,31.1,5932.16,99.9,2700.0,27.0,5,1,Jan (+27.82%),May (-9.62%),27.82,22.73,3.52,2.69,-9.62,0.03
EMA_SAR_10_55_30m,30m,10,55,Stop-and-Reverse (SAR),10000.0,15012.18,5012.18,50.12,126.91,97.22,21.21,3325.96,10.04,2026-06-24T17:30,2026-03-04T08:00,2925.5,1.51,1.69,2.43,5.98,1.04,69.6,200,30.5,69.5,1.26,0.24,25.06,3.11,1.01,3.07,3,11,19.91,-4.26,21.6,100,29.0,-898.8,100,32.0,5911.0,99.4,2000.0,20.0,4,2,Jan (+26.91%),Apr (-4.62%),26.91,8.77,0.83,-4.62,-1.77,15.12
EMA_SAR_110_200_5m,5m,110,200,Stop-and-Reverse (SAR),10000.0,14997.16,4997.16,49.97,126.43,97.07,21.63,3764.58,9.57,2026-06-24T17:55,2026-05-30T04:30,1848.8,1.33,1.67,2.2,5.85,1.02,68.5,178,33.7,66.3,1.22,0.28,28.07,3.39,1.3,2.61,3,8,21.98,-7.04,24.4,89,31.5,-883.25,89,36.0,5880.33,99.9,1780.0,17.8,4,2,Jan (+30.18%),May (-5.96%),30.18,17.04,0.19,-3.54,-5.96,8.31
EMA_SAR_70_185_5m,5m,70,185,Stop-and-Reverse (SAR),10000.0,14950.46,4950.46,49.5,125.01,96.6,21.66,4075.32,7.91,2026-06-08T21:40,2026-06-30T06:25,1871.0,1.21,1.65,2.21,5.77,1.02,69.5,258,31.0,69.0,1.19,0.19,19.19,2.85,0.98,2.91,4,10,22.95,-4.53,16.8,129,32.6,-896.77,129,29.5,5847.2,99.9,2580.0,25.8,5,1,Jan (+25.85%),May (-8.00%),25.85,19.72,2.61,3.62,-8.0,1.44
EMA_SAR_55_195_5m,5m,55,195,Stop-and-Reverse (SAR),10000.0,14848.42,4848.42,48.48,121.93,95.58,20.64,3645.74,8.08,2026-06-08T21:40,2026-06-02T06:30,1926.4,1.33,1.63,2.18,5.91,1.02,67.4,294,28.6,71.4,1.17,0.17,16.49,2.88,0.92,3.15,3,14,22.99,-4.33,14.8,147,27.9,-873.02,147,29.3,5721.49,99.9,2940.0,29.4,4,2,Jan (+32.46%),May (-11.92%),32.46,21.59,-2.24,4.62,-11.92,2.34
EMA_SAR_10_45_30m,30m,10,45,Stop-and-Reverse (SAR),10000.0,14799.01,4799.01,47.99,120.46,95.09,22.24,3894.57,8.62,2026-06-24T17:30,2026-06-02T08:00,1861.5,1.23,1.64,2.27,5.42,1.04,67.7,216,31.9,68.1,1.21,0.22,22.22,2.99,1.07,2.78,3,11,22.1,-6.79,20.0,108,32.4,-888.22,108,31.5,5687.25,99.4,2160.0,21.6,4,2,Jan (+22.73%),May (-7.06%),22.73,22.37,3.18,-3.35,-7.06,6.31
