strategy,timeframe,total_return_pct,net_pnl_usd,final_equity,max_drawdown_pct,sharpe,sortino,calmar,win_rate_pct,profit_factor,expectancy_pct,total_trades,avg_hold_hours,exposure_pct,fees_applied_pct,strategy_base,method,fast_ema,slow_ema
EMA_SAR_209_223_1h,1h,50.01,5001.18,15001.18,22.26,1.95,2.7,5.69,50.0,3.3,6.13,8,536.6,98.9,0.8,EMA_SAR_209_223,Method 1: SAR,209,223.0
EMA_SAR_207_224_1h,1h,50.01,5001.18,15001.18,22.26,1.95,2.7,5.69,50.0,3.3,6.13,8,536.6,98.9,0.8,EMA_SAR_207_224,Method 1: SAR,207,224.0
EMA_SAR_100_200_5m,5m,34.25,3425.27,13425.27,25.55,1.29,1.71,3.18,32.5,1.15,0.2,194,22.4,99.9,19.4,EMA_SAR_100_200,Method 1: SAR,100,200.0
SINGLE_EMA_82_1h,1h,30.6,3060.48,13060.48,21.77,1.25,1.84,3.28,21.7,1.2,0.15,230,18.7,98.9,23.0,SINGLE_EMA_82,Method 3: Single EMA,82,
EMA_SAR_12_26_30m,30m,29.63,2962.7,12962.7,26.05,1.18,1.65,2.64,29.0,1.1,0.14,290,14.9,99.4,29.0,EMA_SAR_12_26,Method 1: SAR,12,26.0
EMA_CONFIRMED_207_224_1h,1h,29.44,2943.66,12943.66,27.29,1.35,1.68,2.5,12.2,1.44,0.4,82,40.0,75.5,8.2,EMA_CONFIRMED_207_224,Method 2: Cross+Price,207,224.0
EMA_CONFIRMED_209_223_1h,1h,28.67,2866.52,12866.52,27.44,1.32,1.65,2.41,12.2,1.43,0.39,82,40.0,75.6,8.2,EMA_CONFIRMED_209_223,Method 2: Cross+Price,209,223.0
EMA_SAR_50_200_5m,5m,27.79,2778.88,12778.88,26.79,1.13,1.5,2.39,28.4,1.1,0.11,306,14.2,99.9,30.6,EMA_SAR_50_200,Method 1: SAR,50,200.0
EMA_SAR_9_21_1h,1h,19.28,1928.47,11928.47,32.54,0.9,1.25,1.31,32.8,1.1,0.15,174,24.7,98.9,17.4,EMA_SAR_9_21,Method 1: SAR,9,21.0
SINGLE_EMA_100_1h,1h,16.34,1634.05,11634.05,27.39,0.83,1.2,1.3,20.1,1.11,0.11,204,21.0,98.9,20.4,SINGLE_EMA_100,Method 3: Single EMA,100,
SINGLE_EMA_200_30m,30m,16.03,1602.96,11602.96,30.81,0.82,1.15,1.14,17.8,1.1,0.08,276,15.6,99.4,27.6,SINGLE_EMA_200,Method 3: Single EMA,200,
EMA_SAR_209_223_5m,5m,14.7,1469.56,11469.56,47.59,0.76,0.99,0.67,33.6,1.09,0.16,140,31.0,99.9,14.0,EMA_SAR_209_223,Method 1: SAR,209,223.0
EMA_SAR_207_224_5m,5m,13.43,1342.82,11342.82,47.53,0.72,0.94,0.61,33.6,1.08,0.15,140,31.0,99.9,14.0,EMA_SAR_207_224,Method 1: SAR,207,224.0
EMA_SAR_12_26_1h,1h,12.04,1203.85,11203.85,47.03,0.69,0.95,0.55,36.7,1.08,0.15,128,33.5,98.9,12.8,EMA_SAR_12_26,Method 1: SAR,12,26.0
EMA_SAR_20_50_30m,30m,10.36,1035.51,11035.51,46.5,0.63,0.86,0.47,31.3,1.06,0.12,150,28.8,99.4,15.0,EMA_SAR_20_50,Method 1: SAR,20,50.0
EMA_SAR_20_100_30m,30m,7.6,759.77,10759.77,41.53,0.54,0.75,0.38,33.3,1.06,0.15,102,42.3,99.4,10.2,EMA_SAR_20_100,Method 1: SAR,20,100.0
