trade_id,strategy,timeframe,fast_ema,slow_ema,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
1,EMA_SAR_100_200_1h,1h,20,200,LONG,2026-01-03T02:00,3132.38,2026-01-11T11:00,3106.22,201,201.0,10000.0,-83.51,-0.84,9916.49,Signal Direction Flip
2,EMA_SAR_100_200_1h,1h,20,200,SHORT,2026-01-11T11:00,3106.22,2026-01-11T17:00,3131.01,6,6.0,9916.49,-79.17,-0.8,9837.32,Signal Direction Flip
3,EMA_SAR_100_200_1h,1h,20,200,LONG,2026-01-11T17:00,3131.01,2026-01-20T14:00,3077.45,213,213.0,9837.32,-168.29,-1.71,9669.03,Signal Direction Flip
4,EMA_SAR_100_200_1h,1h,20,200,SHORT,2026-01-20T14:00,3077.45,2026-02-26T12:00,2058.68,886,886.0,9669.03,3200.87,33.1,12869.9,Signal Direction Flip
5,EMA_SAR_100_200_1h,1h,20,200,LONG,2026-02-26T12:00,2058.68,2026-02-28T08:00,1865.8,44,44.0,12869.9,-1205.81,-9.37,11664.09,Signal Direction Flip
6,EMA_SAR_100_200_1h,1h,20,200,SHORT,2026-02-28T08:00,1865.8,2026-03-01T14:00,2007.58,30,30.0,11664.09,-886.38,-7.6,10777.71,Signal Direction Flip
7,EMA_SAR_100_200_1h,1h,20,200,LONG,2026-03-01T14:00,2007.58,2026-03-01T23:00,1923.9,9,9.0,10777.71,-449.27,-4.17,10328.44,Signal Direction Flip
8,EMA_SAR_100_200_1h,1h,20,200,SHORT,2026-03-01T23:00,1923.9,2026-03-02T17:00,2065.36,18,18.0,10328.44,-759.45,-7.35,9568.99,Signal Direction Flip
9,EMA_SAR_100_200_1h,1h,20,200,LONG,2026-03-02T17:00,2065.36,2026-03-08T11:00,1973.18,138,138.0,9568.99,-427.07,-4.46,9141.91,Signal Direction Flip
10,EMA_SAR_100_200_1h,1h,20,200,SHORT,2026-03-08T11:00,1973.18,2026-03-10T08:00,2052.03,45,45.0,9141.91,-365.28,-4.0,8776.63,Signal Direction Flip
11,EMA_SAR_100_200_1h,1h,20,200,LONG,2026-03-10T08:00,2052.03,2026-03-22T09:00,2085.46,289,289.0,8776.63,142.99,1.63,8919.62,Signal Direction Flip
12,EMA_SAR_100_200_1h,1h,20,200,SHORT,2026-03-22T09:00,2085.46,2026-03-25T19:00,2163.45,82,82.0,8919.62,-333.59,-3.74,8586.03,Signal Direction Flip
13,EMA_SAR_100_200_1h,1h,20,200,LONG,2026-03-25T19:00,2163.45,2026-03-26T10:00,2081.59,15,15.0,8586.03,-324.89,-3.78,8261.14,Signal Direction Flip
14,EMA_SAR_100_200_1h,1h,20,200,SHORT,2026-03-26T10:00,2081.59,2026-04-01T21:00,2144.99,155,155.0,8261.14,-251.63,-3.05,8009.52,Signal Direction Flip
15,EMA_SAR_100_200_1h,1h,20,200,LONG,2026-04-01T21:00,2144.99,2026-04-02T12:00,2032.0,15,15.0,8009.52,-421.91,-5.27,7587.61,Signal Direction Flip
16,EMA_SAR_100_200_1h,1h,20,200,SHORT,2026-04-02T12:00,2032.0,2026-04-06T08:00,2135.98,92,92.0,7587.61,-388.24,-5.12,7199.37,Signal Direction Flip
17,EMA_SAR_100_200_1h,1h,20,200,LONG,2026-04-06T08:00,2135.98,2026-04-28T03:00,2287.96,523,523.0,7199.37,512.25,7.12,7711.61,Signal Direction Flip
18,EMA_SAR_100_200_1h,1h,20,200,SHORT,2026-04-28T03:00,2287.96,2026-05-03T23:00,2345.06,140,140.0,7711.61,-192.48,-2.5,7519.13,Signal Direction Flip
19,EMA_SAR_100_200_1h,1h,20,200,LONG,2026-05-03T23:00,2345.06,2026-05-08T11:00,2286.81,108,108.0,7519.13,-186.79,-2.48,7332.34,Signal Direction Flip
20,EMA_SAR_100_200_1h,1h,20,200,SHORT,2026-05-08T11:00,2286.81,2026-05-10T19:00,2359.71,56,56.0,7332.34,-233.75,-3.19,7098.59,Signal Direction Flip
21,EMA_SAR_100_200_1h,1h,20,200,LONG,2026-05-10T19:00,2359.71,2026-05-12T11:00,2285.07,40,40.0,7098.59,-224.54,-3.16,6874.05,Signal Direction Flip
22,EMA_SAR_100_200_1h,1h,20,200,SHORT,2026-05-12T11:00,2285.07,2026-06-15T19:00,1829.03,824,824.0,6874.05,1371.86,19.96,8245.91,Signal Direction Flip
23,EMA_SAR_100_200_1h,1h,20,200,LONG,2026-06-15T19:00,1829.03,2026-06-23T11:00,1651.82,184,184.0,8245.91,-798.92,-9.69,7446.98,Signal Direction Flip
24,EMA_SAR_100_200_1h,1h,20,200,SHORT,2026-06-23T11:00,1651.82,2026-06-30T23:00,1572.8,180,180.0,7446.98,356.28,4.78,7803.27,End of 6-Month Period Settlement
