trade_id,strategy,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
1,EMA_SAR_207_224,LONG,2026-01-01T16:40,2985.67,2026-01-07T11:55,3218.33,1671,139.25,10000.0,779.25,7.79,10779.25,Signal Flip
2,EMA_SAR_207_224,SHORT,2026-01-07T11:55,3218.33,2026-01-11T05:50,3101.78,1079,89.92,10779.25,390.36,3.62,11169.61,Signal Flip
3,EMA_SAR_207_224,LONG,2026-01-11T05:50,3101.78,2026-01-12T14:55,3093.56,397,33.08,11169.61,-29.59,-0.26,11140.02,Signal Flip
4,EMA_SAR_207_224,SHORT,2026-01-12T14:55,3093.56,2026-01-12T16:40,3135.21,21,1.75,11140.02,-149.96,-1.35,10990.06,Signal Flip
5,EMA_SAR_207_224,LONG,2026-01-12T16:40,3135.21,2026-01-12T17:40,3094.82,12,1.0,10990.06,-141.56,-1.29,10848.49,Signal Flip
6,EMA_SAR_207_224,SHORT,2026-01-12T17:40,3094.82,2026-01-13T07:10,3132.93,162,13.5,10848.49,-133.57,-1.23,10714.92,Signal Flip
7,EMA_SAR_207_224,LONG,2026-01-13T07:10,3132.93,2026-01-15T19:30,3287.01,724,60.33,10714.92,526.97,4.92,11241.89,Signal Flip
8,EMA_SAR_207_224,SHORT,2026-01-15T19:30,3287.01,2026-01-17T13:40,3303.72,506,42.17,11241.89,-57.17,-0.51,11184.73,Signal Flip
9,EMA_SAR_207_224,LONG,2026-01-17T13:40,3303.72,2026-01-19T00:50,3218.39,422,35.17,11184.73,-288.89,-2.58,10895.84,Signal Flip
10,EMA_SAR_207_224,SHORT,2026-01-19T00:50,3218.39,2026-01-22T02:05,3029.75,879,73.25,10895.84,638.63,5.86,11534.46,Signal Flip
11,EMA_SAR_207_224,LONG,2026-01-22T02:05,3029.75,2026-01-22T14:30,2971.27,149,12.42,11534.46,-222.64,-1.93,11311.82,Signal Flip
12,EMA_SAR_207_224,SHORT,2026-01-22T14:30,2971.27,2026-01-24T03:30,2971.76,444,37.0,11311.82,-1.83,-0.02,11309.99,Signal Flip
13,EMA_SAR_207_224,LONG,2026-01-24T03:30,2971.76,2026-01-25T00:20,2953.88,250,20.83,11309.99,-68.02,-0.6,11241.97,Signal Flip
14,EMA_SAR_207_224,SHORT,2026-01-25T00:20,2953.88,2026-01-26T14:40,2918.41,460,38.33,11241.97,135.01,1.2,11376.98,Signal Flip
