Strategy_Logic,Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Avg_Holding_Hours,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
PRICE_VS_EMA_LONG_ONLY,5,None,4.62,7.32,23.3,30.15,0.38,0.41,0.24,28.87,1.04,762,3.7,0.01,17.25,-3.47,50.66,4,4,-2.54,-10.44,11.09,6.53,-7.55,-7.9,2.57,15.97
PRICE_VS_EMA_LONG_ONLY,6,None,21.13,34.96,39.8,28.76,0.94,1.06,1.22,28.91,1.12,685,4.1,0.04,18.74,-3.0,50.61,4,4,-4.52,-8.66,14.36,8.77,-8.92,-1.19,3.08,20.36
PRICE_VS_EMA_LONG_ONLY,7,None,16.6,27.15,35.27,24.96,0.8,0.89,1.09,27.4,1.11,624,4.6,0.03,18.74,-3.0,50.79,4,4,-5.64,-6.13,7.97,9.06,-10.08,-3.79,6.93,20.85
PRICE_VS_EMA_LONG_ONLY,8,None,15.2,24.77,33.87,24.27,0.75,0.83,1.02,26.27,1.1,590,4.8,0.04,20.69,-3.0,50.93,4,4,-4.74,-7.75,9.01,7.32,-10.65,-6.02,10.4,20.86
PRICE_VS_EMA_LONG_ONLY,9,None,7.41,11.83,26.09,27.68,0.48,0.52,0.43,25.13,1.07,565,5.0,0.03,23.61,-3.0,50.84,4,4,-7.53,-3.52,5.64,4.93,-11.39,-10.22,13.0,20.81
PRICE_VS_EMA_LONG_ONLY,10,None,7.45,11.89,26.12,28.32,0.48,0.52,0.42,23.84,1.07,541,5.3,0.03,23.61,-3.0,50.93,4,4,-8.79,-2.26,4.92,4.55,-10.06,-9.09,12.24,19.73
PRICE_VS_EMA_LONG_ONLY,11,None,4.02,6.35,22.69,29.63,0.35,0.38,0.21,22.26,1.06,521,5.4,0.02,23.61,-3.0,50.5,4,4,-7.66,-5.66,3.17,4.22,-9.44,-9.03,13.02,19.28
PRICE_VS_EMA_LONG_ONLY,12,None,-8.79,-13.4,9.89,36.9,-0.16,-0.17,-0.36,20.55,0.99,511,5.5,-0.0,23.61,-3.0,50.55,4,4,-8.32,-7.37,1.15,0.11,-11.28,-8.98,10.74,18.6
PRICE_VS_EMA_LONG_ONLY,13,None,-9.87,-15.0,8.8,38.66,-0.21,-0.22,-0.39,19.35,0.99,491,5.8,-0.01,27.24,-3.0,50.43,3,5,-7.84,-10.23,2.49,-0.77,-11.57,-8.81,11.75,18.86
PRICE_VS_EMA_LONG_ONLY,14,None,-1.18,-1.83,17.5,31.9,0.15,0.16,-0.06,20.13,1.04,467,6.0,0.01,27.24,-3.0,50.27,3,5,-6.78,-5.0,2.84,-0.07,-11.05,-8.25,11.17,19.68
PRICE_VS_EMA_LONG_ONLY,15,None,2.22,3.5,20.9,29.56,0.28,0.31,0.12,19.46,1.06,442,6.3,0.02,27.24,-3.0,49.77,4,4,-3.55,-8.84,3.46,0.27,-10.3,-5.97,11.01,19.69
PRICE_VS_EMA_LONG_ONLY,16,None,-3.98,-6.16,14.7,33.41,0.04,0.04,-0.18,19.39,1.02,428,6.5,0.01,27.24,-3.0,49.66,3,5,-1.86,-9.96,4.29,-1.75,-12.07,-8.53,9.79,20.11
PRICE_VS_EMA_LONG_ONLY,17,None,5.22,8.28,23.89,27.82,0.4,0.43,0.3,19.9,1.08,407,6.9,0.03,27.24,-3.0,49.8,4,4,-2.25,-7.19,5.42,0.43,-13.04,-5.92,11.38,20.21
PRICE_VS_EMA_LONG_ONLY,18,None,2.35,3.69,21.02,29.86,0.29,0.31,0.12,19.95,1.06,401,6.9,0.02,27.24,-3.0,49.75,4,4,-2.26,-8.19,5.97,0.29,-12.7,-8.26,11.5,20.21
PRICE_VS_EMA_LONG_ONLY,19,None,8.14,13.02,26.81,25.41,0.51,0.55,0.51,19.85,1.1,393,7.1,0.04,27.24,-3.0,49.61,4,4,-2.41,-7.65,8.47,0.35,-12.34,-5.5,10.82,20.09
PRICE_VS_EMA_LONG_ONLY,20,None,9.37,15.04,28.05,26.16,0.55,0.6,0.57,19.27,1.11,384,7.2,0.04,27.6,-3.0,49.71,3,5,-0.34,-10.45,10.12,-0.56,-12.23,-5.18,11.56,20.55
PRICE_VS_EMA_LONG_ONLY,21,None,8.33,13.34,27.01,25.98,0.51,0.56,0.51,19.63,1.1,377,7.4,0.04,27.6,-3.7,49.48,4,4,-1.64,-8.35,8.07,1.09,-12.93,-4.83,10.29,20.37
PRICE_VS_EMA_LONG_ONLY,22,None,14.42,23.46,33.1,23.36,0.73,0.8,1.0,19.39,1.15,361,7.7,0.06,27.6,-3.7,49.52,4,4,-2.13,-4.55,7.38,2.08,-12.67,-3.57,10.7,19.86
PRICE_VS_EMA_LONG_ONLY,23,None,13.32,21.61,32.0,23.3,0.69,0.76,0.93,19.1,1.14,356,7.8,0.06,27.6,-3.7,49.5,4,4,-1.44,-5.17,7.05,2.88,-12.32,-3.99,8.94,20.04
PRICE_VS_EMA_LONG_ONLY,24,None,14.29,23.24,32.97,23.14,0.73,0.79,1.0,20.11,1.15,348,8.0,0.06,27.6,-3.7,49.54,4,4,-1.03,-4.51,9.8,1.3,-11.93,-4.33,7.5,20.04
PRICE_VS_EMA_LONG_ONLY,25,None,13.01,21.09,31.69,22.14,0.68,0.74,0.95,20.87,1.14,345,8.0,0.06,27.6,-3.7,49.3,5,3,0.37,-6.45,8.9,1.16,-11.81,-2.91,6.8,19.49
PRICE_VS_EMA_LONG_ONLY,26,None,9.2,14.76,27.88,24.23,0.55,0.59,0.61,21.07,1.12,337,8.2,0.05,27.49,-3.7,49.21,5,3,2.06,-8.68,7.38,1.79,-11.43,-5.53,7.7,18.95
PRICE_VS_EMA_LONG_ONLY,27,None,6.38,10.16,25.06,25.97,0.44,0.48,0.39,21.45,1.09,331,8.3,0.04,27.26,-3.7,49.18,5,3,2.35,-12.34,10.3,3.24,-11.69,-7.3,7.19,18.66
PRICE_VS_EMA_LONG_ONLY,28,None,12.02,19.43,30.7,24.27,0.65,0.7,0.8,22.12,1.14,321,8.6,0.05,26.73,-3.7,49.23,5,3,2.41,-10.91,11.83,3.96,-11.43,-6.07,7.22,18.4
PRICE_VS_EMA_LONG_ONLY,29,None,12.78,20.7,31.46,21.72,0.68,0.74,0.95,21.25,1.15,320,8.6,0.06,26.73,-2.42,49.16,5,3,4.29,-10.61,10.97,3.75,-12.42,-5.12,7.22,17.93
PRICE_VS_EMA_LONG_ONLY,30,None,7.9,12.62,26.57,23.76,0.5,0.55,0.53,20.43,1.11,323,8.5,0.04,26.73,-2.42,49.11,5,3,3.63,-10.85,9.4,4.12,-12.72,-5.56,6.97,16.3
PRICE_VS_EMA_LONG_ONLY,31,None,13.96,22.68,32.63,21.94,0.72,0.79,1.03,20.45,1.16,313,8.8,0.06,26.81,-2.42,49.11,5,3,4.8,-9.54,9.05,4.77,-11.75,-4.59,7.2,16.55
PRICE_VS_EMA_LONG_ONLY,32,None,16.38,26.79,35.06,20.8,0.8,0.88,1.29,20.92,1.18,306,9.0,0.07,26.81,-2.42,49.29,5,3,4.68,-8.9,8.75,5.08,-10.03,-4.41,6.28,16.86
PRICE_VS_EMA_LONG_ONLY,33,None,14.38,23.38,33.05,20.97,0.73,0.8,1.12,20.0,1.17,305,9.0,0.06,26.81,-2.42,49.21,5,3,5.05,-10.29,8.1,5.3,-10.81,-3.91,6.25,17.08
PRICE_VS_EMA_LONG_ONLY,34,None,19.8,32.65,38.47,21.0,0.92,1.01,1.55,20.54,1.21,297,9.2,0.08,26.81,-2.42,49.05,5,3,4.53,-9.88,9.34,5.27,-9.08,-3.58,7.15,17.62
