Logic,Fast_EMA,Slow_EMA,Y_Factor,Y_Value,X_Pct,Initial_Capital,Final_Equity,Total_Return_Pct,Max_Drawdown_Pct,Sharpe,Win_Rate_Pct,Profit_Factor,Total_Trades_Closed,Total_Series_Adds,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
EMA_CROSS_SAR,209,223,BARS_ELAPSED,1.0,5,10000.0,17511.29,75.11,22.0,2.16,43.75,3.89,16,1516,15.53,13.92,-8.41,3.64,2.4,17.38,-1.06,18.84
EMA_CROSS_SAR,209,223,BARS_ELAPSED,1.0,10,10000.0,18215.16,82.15,21.09,2.25,43.75,4.11,16,897,16.52,13.96,-8.46,4.59,2.07,17.32,-0.75,21.58
EMA_CROSS_SAR,209,223,BARS_ELAPSED,1.0,15,10000.0,18466.79,84.67,20.77,2.28,43.75,4.27,16,619,16.75,13.99,-7.91,4.71,1.86,17.32,-0.58,22.15
EMA_CROSS_SAR,209,223,BARS_ELAPSED,1.0,20,10000.0,18593.05,85.93,20.78,2.29,43.75,4.38,16,471,16.85,14.0,-7.38,4.61,1.66,17.34,-0.5,22.4
EMA_CROSS_SAR,209,223,BARS_ELAPSED,1.0,25,10000.0,18677.3,86.77,20.86,2.3,43.75,4.47,16,380,16.92,13.99,-6.94,4.48,1.48,17.36,-0.46,22.6
EMA_CROSS_SAR,209,223,BARS_ELAPSED,1.0,30,10000.0,18744.14,87.44,20.97,2.31,43.75,4.54,16,317,17.0,13.98,-6.57,4.36,1.33,17.37,-0.45,22.78
EMA_CROSS_SAR,209,223,BARS_ELAPSED,1.0,50,10000.0,18933.7,89.34,21.41,2.34,43.75,4.8,16,177,17.25,13.94,-5.5,3.97,0.98,17.4,-0.49,23.33
EMA_CROSS_SAR,209,223,BARS_ELAPSED,1.0,100,10000.0,19096.69,90.97,22.35,2.36,43.75,5.14,16,16,17.68,13.88,-4.47,3.08,0.77,17.44,-0.6,24.07
EMA_CROSS_SAR,209,223,BARS_ELAPSED,2.0,5,10000.0,16674.23,66.74,22.1,2.05,43.75,3.83,16,1263,13.89,13.99,-6.98,2.21,2.85,17.64,-1.3,14.02
EMA_CROSS_SAR,209,223,BARS_ELAPSED,2.0,10,10000.0,17538.88,75.39,22.18,2.16,43.75,3.89,16,807,15.6,13.95,-8.41,3.57,2.28,17.4,-1.03,19.09
EMA_CROSS_SAR,209,223,BARS_ELAPSED,2.0,15,10000.0,17988.86,79.89,21.68,2.21,43.75,4.02,16,612,16.29,13.96,-8.58,4.17,2.08,17.35,-0.84,21.01
EMA_CROSS_SAR,209,223,BARS_ELAPSED,2.0,20,10000.0,18240.23,82.4,21.3,2.25,43.75,4.13,16,468,16.61,13.97,-8.38,4.41,1.95,17.34,-0.69,21.78
EMA_CROSS_SAR,209,223,BARS_ELAPSED,2.0,25,10000.0,18390.63,83.91,21.12,2.26,43.75,4.22,16,377,16.79,13.98,-8.07,4.45,1.84,17.34,-0.58,22.14
EMA_CROSS_SAR,209,223,BARS_ELAPSED,2.0,30,10000.0,18490.96,84.91,21.11,2.28,43.75,4.29,16,312,16.9,13.99,-7.74,4.4,1.72,17.34,-0.51,22.37
EMA_CROSS_SAR,209,223,BARS_ELAPSED,2.0,50,10000.0,18731.11,87.31,21.4,2.31,43.75,4.55,16,174,17.2,13.96,-6.57,3.95,1.29,17.38,-0.41,23.01
EMA_CROSS_SAR,209,223,BARS_ELAPSED,2.0,100,10000.0,19096.69,90.97,22.35,2.36,43.75,5.14,16,16,17.68,13.88,-4.47,3.08,0.77,17.44,-0.6,24.07
EMA_CROSS_SAR,209,223,BARS_ELAPSED,4.0,5,10000.0,15704.73,57.05,20.84,1.93,50.0,3.67,16,1010,11.56,14.06,-5.36,0.49,3.44,18.14,-1.81,8.91
EMA_CROSS_SAR,209,223,BARS_ELAPSED,4.0,10,10000.0,16761.66,67.62,22.07,2.06,43.75,3.86,16,670,14.14,13.98,-6.82,2.25,2.84,17.63,-1.33,14.19
EMA_CROSS_SAR,209,223,BARS_ELAPSED,4.0,15,10000.0,17315.14,73.15,22.26,2.13,43.75,3.91,16,521,15.28,13.94,-7.67,3.07,2.48,17.46,-1.17,17.41
EMA_CROSS_SAR,209,223,BARS_ELAPSED,4.0,20,10000.0,17709.78,77.1,22.08,2.18,43.75,3.99,16,420,15.99,13.92,-7.98,3.57,2.28,17.39,-1.05,19.36
EMA_CROSS_SAR,209,223,BARS_ELAPSED,4.0,25,10000.0,17999.62,80.0,21.82,2.22,43.75,4.08,16,358,16.45,13.91,-8.0,3.89,2.16,17.36,-0.94,20.55
EMA_CROSS_SAR,209,223,BARS_ELAPSED,4.0,30,10000.0,18212.82,82.13,21.59,2.25,43.75,4.18,16,309,16.75,13.91,-7.86,4.08,2.06,17.35,-0.85,21.28
EMA_CROSS_SAR,209,223,BARS_ELAPSED,4.0,50,10000.0,18662.27,86.62,21.35,2.3,43.75,4.5,16,173,17.28,13.92,-6.84,4.11,1.67,17.36,-0.62,22.5
EMA_CROSS_SAR,209,223,BARS_ELAPSED,4.0,100,10000.0,19096.69,90.97,22.35,2.36,43.75,5.14,16,16,17.68,13.88,-4.47,3.08,0.77,17.44,-0.6,24.07
EMA_CROSS_SAR,209,223,BARS_ELAPSED,6.0,5,10000.0,14893.35,48.93,19.75,1.8,50.0,3.39,16,808,9.41,13.82,-5.12,-0.55,3.51,18.4,-2.46,6.67
