Strategy_Note,Logic,Fast_EMA,Slow_EMA,Y_Factor,Y_Value,X_Pct,Fixed_Add_USD,Max_Possible_Adds,Initial_Capital,Final_Equity,Total_Return_Pct,Max_Drawdown_Pct,Sharpe,Win_Rate_Pct,Profit_Factor,Total_Closed_Trades,Total_Series_Adds,Avg_Adds_Per_Trade,Base_Return_Pct,Alpha_vs_Base_Pct,Alpha_vs_BH_Pct,Pyramid_Added_Pct,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
"[EMA_CROSS_SAR] EMA(205,227.0) | Y=PROFIT_FROM_LAST_PCT(1.0) X=30%",EMA_CROSS_SAR,205,227.0,PROFIT_FROM_LAST_PCT,1.0,30,3000.0,3,10000.0,16118.08,61.18,16.57,2.25,44.44,3.46,18,38,2.1,100.08,-38.9,79.86,-38.9,14.12,13.03,-5.98,0.35,2.69,14.27,-2.37,16.22
"[EMA_CROSS_SAR] EMA(201,230.0) | Y=PROFIT_FROM_LAST_PCT(1.0) X=30%",EMA_CROSS_SAR,201,230.0,PROFIT_FROM_LAST_PCT,1.0,30,3000.0,3,10000.0,16074.49,60.74,16.57,2.24,43.75,3.46,16,36,2.2,100.35,-39.61,79.42,-39.61,14.12,13.03,-5.98,0.35,2.69,14.27,-2.37,15.9
"[EMA_CROSS_SAR] EMA(207,224.0) | Y=PROFIT_FROM_LAST_PCT(1.0) X=30%",EMA_CROSS_SAR,207,224.0,PROFIT_FROM_LAST_PCT,1.0,30,3000.0,3,10000.0,16074.49,60.74,16.57,2.24,43.75,3.46,16,36,2.2,100.35,-39.61,79.42,-39.61,14.12,13.03,-5.98,0.35,2.69,14.27,-2.37,15.9
"[EMA_CROSS_SAR] EMA(199,232.0) | Y=PROFIT_FROM_LAST_PCT(1.0) X=30%",EMA_CROSS_SAR,199,232.0,PROFIT_FROM_LAST_PCT,1.0,30,3000.0,3,10000.0,16074.49,60.74,16.57,2.24,43.75,3.46,16,36,2.2,100.35,-39.61,79.42,-39.61,14.12,13.03,-5.98,0.35,2.69,14.27,-2.37,15.9
"[EMA_CROSS_SAR] EMA(208,223.0) | Y=PROFIT_FROM_LAST_PCT(1.0) X=30%",EMA_CROSS_SAR,208,223.0,PROFIT_FROM_LAST_PCT,1.0,30,3000.0,3,10000.0,16074.49,60.74,16.57,2.24,43.75,3.46,16,36,2.2,100.35,-39.61,79.42,-39.61,14.12,13.03,-5.98,0.35,2.69,14.27,-2.37,15.9
"[EMA_CROSS_SAR] EMA(200,231.0) | Y=PROFIT_FROM_LAST_PCT(1.0) X=30%",EMA_CROSS_SAR,200,231.0,PROFIT_FROM_LAST_PCT,1.0,30,3000.0,3,10000.0,16074.49,60.74,16.57,2.24,43.75,3.46,16,36,2.2,100.35,-39.61,79.42,-39.61,14.12,13.03,-5.98,0.35,2.69,14.27,-2.37,15.9
"[EMA_CROSS_SAR] EMA(209,222.0) | Y=PROFIT_FROM_LAST_PCT(1.0) X=30%",EMA_CROSS_SAR,209,222.0,PROFIT_FROM_LAST_PCT,1.0,30,3000.0,3,10000.0,16074.49,60.74,16.57,2.24,43.75,3.46,16,36,2.2,100.35,-39.61,79.42,-39.61,14.12,13.03,-5.98,0.35,2.69,14.27,-2.37,15.9
"[EMA_CROSS_SAR] EMA(205,226.0) | Y=PROFIT_FROM_LAST_PCT(1.0) X=30%",EMA_CROSS_SAR,205,226.0,PROFIT_FROM_LAST_PCT,1.0,30,3000.0,3,10000.0,16074.49,60.74,16.57,2.24,43.75,3.46,16,36,2.2,100.35,-39.61,79.42,-39.61,14.12,13.03,-5.98,0.35,2.69,14.27,-2.37,15.9
"[EMA_CROSS_SAR] EMA(198,233.0) | Y=PROFIT_FROM_LAST_PCT(1.0) X=30%",EMA_CROSS_SAR,198,233.0,PROFIT_FROM_LAST_PCT,1.0,30,3000.0,3,10000.0,16074.49,60.74,16.57,2.24,43.75,3.46,16,36,2.2,100.35,-39.61,79.42,-39.61,14.12,13.03,-5.98,0.35,2.69,14.27,-2.37,15.9
"[EMA_CROSS_SAR] EMA(210,221.0) | Y=PROFIT_FROM_LAST_PCT(1.0) X=30%",EMA_CROSS_SAR,210,221.0,PROFIT_FROM_LAST_PCT,1.0,30,3000.0,3,10000.0,16074.49,60.74,16.57,2.24,43.75,3.46,16,36,2.2,100.35,-39.61,79.42,-39.61,14.12,13.03,-5.98,0.35,2.69,14.27,-2.37,15.9
