Strategy_Note,Logic,Fast_EMA,Slow_EMA,Y_Factor,Y_Value,X_Pct,Fixed_Add_USD,Max_Possible_Adds,Initial_Capital,Final_Equity,Total_Return_Pct,Max_Drawdown_Pct,Sharpe,Win_Rate_Pct,Profit_Factor,Total_Closed_Trades,Total_Series_Adds,Avg_Adds_Per_Trade,Base_Return_Pct,Alpha_vs_Base_Pct,Alpha_vs_BH_Pct,Pyramid_Added_Pct,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
"[EMA_CROSS_SAR] EMA(205,227.0) | Y=PROFIT_FROM_START_PCT(0.5) X=30%",EMA_CROSS_SAR,205,227.0,PROFIT_FROM_START_PCT,0.5,30,3000.0,3,10000.0,16328.9,63.29,15.74,2.28,44.44,3.78,18,41,2.3,100.08,-36.79,81.97,-36.79,14.95,12.86,-5.82,0.3,4.54,13.82,-2.1,15.06
"[EMA_CROSS_SAR] EMA(199,232.0) | Y=PROFIT_FROM_START_PCT(0.5) X=30%",EMA_CROSS_SAR,199,232.0,PROFIT_FROM_START_PCT,0.5,30,3000.0,3,10000.0,16288.46,62.88,15.74,2.27,43.75,3.77,16,39,2.4,100.35,-37.47,81.56,-37.47,14.95,12.86,-5.82,0.3,4.54,13.82,-2.1,14.78
"[EMA_CROSS_SAR] EMA(201,230.0) | Y=PROFIT_FROM_START_PCT(0.5) X=30%",EMA_CROSS_SAR,201,230.0,PROFIT_FROM_START_PCT,0.5,30,3000.0,3,10000.0,16288.46,62.88,15.74,2.27,43.75,3.77,16,39,2.4,100.35,-37.47,81.56,-37.47,14.95,12.86,-5.82,0.3,4.54,13.82,-2.1,14.78
"[EMA_CROSS_SAR] EMA(202,229.0) | Y=PROFIT_FROM_START_PCT(0.5) X=30%",EMA_CROSS_SAR,202,229.0,PROFIT_FROM_START_PCT,0.5,30,3000.0,3,10000.0,16288.46,62.88,15.74,2.27,43.75,3.77,16,39,2.4,100.35,-37.47,81.56,-37.47,14.95,12.86,-5.82,0.3,4.54,13.82,-2.1,14.78
"[EMA_CROSS_SAR] EMA(207,224.0) | Y=PROFIT_FROM_START_PCT(0.5) X=30%",EMA_CROSS_SAR,207,224.0,PROFIT_FROM_START_PCT,0.5,30,3000.0,3,10000.0,16288.46,62.88,15.74,2.27,43.75,3.77,16,39,2.4,100.35,-37.47,81.56,-37.47,14.95,12.86,-5.82,0.3,4.54,13.82,-2.1,14.78
"[EMA_CROSS_SAR] EMA(198,233.0) | Y=PROFIT_FROM_START_PCT(0.5) X=30%",EMA_CROSS_SAR,198,233.0,PROFIT_FROM_START_PCT,0.5,30,3000.0,3,10000.0,16288.46,62.88,15.74,2.27,43.75,3.77,16,39,2.4,100.35,-37.47,81.56,-37.47,14.95,12.86,-5.82,0.3,4.54,13.82,-2.1,14.78
"[EMA_CROSS_SAR] EMA(208,223.0) | Y=PROFIT_FROM_START_PCT(0.5) X=30%",EMA_CROSS_SAR,208,223.0,PROFIT_FROM_START_PCT,0.5,30,3000.0,3,10000.0,16288.46,62.88,15.74,2.27,43.75,3.77,16,39,2.4,100.35,-37.47,81.56,-37.47,14.95,12.86,-5.82,0.3,4.54,13.82,-2.1,14.78
"[EMA_CROSS_SAR] EMA(210,221.0) | Y=PROFIT_FROM_START_PCT(0.5) X=30%",EMA_CROSS_SAR,210,221.0,PROFIT_FROM_START_PCT,0.5,30,3000.0,3,10000.0,16288.46,62.88,15.74,2.27,43.75,3.77,16,39,2.4,100.35,-37.47,81.56,-37.47,14.95,12.86,-5.82,0.3,4.54,13.82,-2.1,14.78
"[EMA_CROSS_SAR] EMA(206,225.0) | Y=PROFIT_FROM_START_PCT(0.5) X=30%",EMA_CROSS_SAR,206,225.0,PROFIT_FROM_START_PCT,0.5,30,3000.0,3,10000.0,16288.46,62.88,15.74,2.27,43.75,3.77,16,39,2.4,100.35,-37.47,81.56,-37.47,14.95,12.86,-5.82,0.3,4.54,13.82,-2.1,14.78
"[EMA_CROSS_SAR] EMA(204,227.0) | Y=PROFIT_FROM_START_PCT(0.5) X=30%",EMA_CROSS_SAR,204,227.0,PROFIT_FROM_START_PCT,0.5,30,3000.0,3,10000.0,16288.46,62.88,15.74,2.27,43.75,3.77,16,39,2.4,100.35,-37.47,81.56,-37.47,14.95,12.86,-5.82,0.3,4.54,13.82,-2.1,14.78
