Logic,Fast_EMA,Slow_EMA,Total_Ret_Pct,CAGR_Pct,Alpha_Pct,Max_DD_Pct,Sharpe,Sortino,Calmar,Win_Rate_Pct,Profit_Factor,Expectancy_Pct,Total_Trades,Avg_Hold_Hours,Exposure_Pct,Fees_Applied_Pct,Pos_Months,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
EMA_CROSS_LONG_ONLY,208,224,37.02,63.67,55.7,16.97,1.55,1.6,3.75,62.5,7.21,4.41,8,348.5,49.79,0.8,4,-0.04,0.0,0.2,5.5,-4.77,0.0,5.93,28.55
EMA_CROSS_LONG_ONLY,209,223,37.02,63.67,55.7,16.97,1.55,1.6,3.75,62.5,7.21,4.41,8,348.5,49.79,0.8,4,-0.04,0.0,0.2,5.5,-4.77,0.0,5.93,28.55
EMA_CROSS_LONG_ONLY,198,234,36.79,63.24,55.47,16.97,1.54,1.59,3.73,62.5,7.18,4.38,8,348.0,49.71,0.8,4,-0.04,0.0,0.2,5.5,-4.77,0.0,5.93,28.33
EMA_CROSS_LONG_ONLY,199,233,36.79,63.24,55.47,16.97,1.54,1.59,3.73,62.5,7.18,4.38,8,348.0,49.71,0.8,4,-0.04,0.0,0.2,5.5,-4.77,0.0,5.93,28.33
EMA_CROSS_LONG_ONLY,199,232,36.33,62.38,55.0,16.97,1.52,1.58,3.68,62.5,7.12,4.34,8,347.8,49.68,0.8,4,-0.04,0.0,0.2,5.5,-4.77,0.0,5.93,27.9
EMA_CROSS_LONG_ONLY,198,233,36.33,62.38,55.0,16.97,1.52,1.58,3.68,62.5,7.12,4.34,8,347.8,49.68,0.8,4,-0.04,0.0,0.2,5.5,-4.77,0.0,5.93,27.9
EMA_CROSS_LONG_ONLY,202,229,36.33,62.38,55.0,16.97,1.52,1.58,3.68,62.5,7.12,4.34,8,347.8,49.68,0.8,4,-0.04,0.0,0.2,5.5,-4.77,0.0,5.93,27.9
EMA_CROSS_LONG_ONLY,210,221,36.33,62.38,55.0,16.97,1.52,1.58,3.68,62.5,7.12,4.34,8,347.8,49.68,0.8,4,-0.04,0.0,0.2,5.5,-4.77,0.0,5.93,27.9
EMA_CROSS_LONG_ONLY,206,225,36.33,62.38,55.0,16.97,1.52,1.58,3.68,62.5,7.12,4.34,8,347.8,49.68,0.8,4,-0.04,0.0,0.2,5.5,-4.77,0.0,5.93,27.9
EMA_CROSS_LONG_ONLY,208,223,36.33,62.38,55.0,16.97,1.52,1.58,3.68,62.5,7.12,4.34,8,347.8,49.68,0.8,4,-0.04,0.0,0.2,5.5,-4.77,0.0,5.93,27.9
