Strategy_Logic,Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Avg_Holding_Hours,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
PRICE_VS_EMA_SAR_LONG_SHORT,82,None,103.84,204.65,122.51,25.34,2.19,3.15,8.08,20.97,1.62,310,18.1,0.26,29.46,-2.78,100.0,6,2,40.26,16.85,2.29,4.04,-6.18,7.8,-0.59,16.23
PRICE_VS_EMA_SAR_LONG_SHORT,78,None,102.68,201.95,121.35,25.46,2.17,3.12,7.93,21.6,1.6,324,17.3,0.24,29.68,-2.78,100.0,6,2,38.67,12.83,5.02,4.08,-6.32,10.9,-1.22,15.48
PRICE_VS_EMA_SAR_LONG_SHORT,84,None,100.4,196.65,119.07,25.54,2.14,3.08,7.7,20.59,1.61,306,18.3,0.26,29.13,-2.78,100.0,5,3,40.26,16.67,-0.98,4.66,-4.87,8.24,-0.59,15.45
PRICE_VS_EMA_SAR_LONG_SHORT,83,None,99.81,195.28,118.48,25.34,2.13,3.07,7.71,20.65,1.6,310,18.1,0.25,29.46,-2.78,100.0,6,2,40.26,16.27,0.02,3.84,-5.29,7.8,-0.59,16.23
PRICE_VS_EMA_SAR_LONG_SHORT,79,None,99.79,195.25,118.47,25.46,2.13,3.07,7.67,21.47,1.58,326,17.2,0.24,29.68,-2.78,100.0,6,2,38.67,12.83,5.03,4.08,-6.76,9.98,-1.22,15.32
PRICE_VS_EMA_SAR_LONG_SHORT,85,None,96.7,188.13,115.38,26.98,2.09,3.01,6.97,20.39,1.59,304,18.4,0.25,29.13,-2.78,100.0,5,3,40.22,16.41,-0.82,4.66,-4.71,6.14,-0.59,15.45
PRICE_VS_EMA_SAR_LONG_SHORT,80,None,96.34,187.31,115.02,25.46,2.09,3.0,7.36,21.2,1.57,316,17.7,0.24,29.68,-2.78,100.0,6,2,40.26,12.83,2.48,3.1,-6.87,9.26,-0.48,15.95
PRICE_VS_EMA_SAR_LONG_SHORT,87,None,93.28,180.34,111.96,25.86,2.04,2.94,6.97,20.07,1.58,304,18.4,0.25,29.13,-2.78,100.0,5,3,40.76,14.92,-0.55,2.57,-5.3,5.95,-0.44,17.25
PRICE_VS_EMA_SAR_LONG_SHORT,77,None,91.3,175.85,109.97,27.83,2.02,2.89,6.32,20.81,1.53,322,17.4,0.23,29.68,-2.78,100.0,6,2,38.51,12.85,5.02,4.22,-6.98,9.61,-5.82,16.44
PRICE_VS_EMA_SAR_LONG_SHORT,86,None,91.15,175.52,109.83,26.92,2.02,2.9,6.52,19.93,1.56,306,18.3,0.24,29.13,-2.78,100.0,5,3,40.76,16.41,-0.82,2.52,-5.89,6.14,-0.59,15.53
PRICE_VS_EMA_SAR_LONG_SHORT,76,None,90.47,173.98,109.14,28.04,2.01,2.88,6.2,20.86,1.52,326,17.2,0.22,29.88,-2.78,100.0,6,2,38.51,11.58,7.06,3.6,-7.29,10.4,-6.76,16.44
PRICE_VS_EMA_SAR_LONG_SHORT,81,None,88.62,169.82,107.29,25.93,1.98,2.85,6.55,20.75,1.53,318,17.6,0.23,29.46,-2.78,100.0,6,2,40.26,12.12,1.25,2.86,-7.23,7.8,-0.93,16.23
PRICE_VS_EMA_SAR_LONG_SHORT,74,None,84.02,159.62,102.7,31.24,1.91,2.76,5.11,20.0,1.48,340,16.5,0.2,29.88,-2.78,100.0,6,2,36.31,15.91,6.2,3.29,-7.29,8.42,-8.48,15.41
PRICE_VS_EMA_SAR_LONG_SHORT,73,None,82.99,157.35,101.67,31.91,1.9,2.73,4.93,19.77,1.47,344,16.3,0.2,29.88,-2.78,100.0,6,2,36.35,15.91,6.2,3.29,-6.93,8.42,-8.25,14.0
PRICE_VS_EMA_SAR_LONG_SHORT,72,None,80.74,152.42,99.42,32.17,1.87,2.69,4.74,19.21,1.46,354,15.8,0.19,29.88,-2.78,100.0,6,2,36.13,15.91,6.2,3.29,-7.57,7.72,-8.38,14.47
