direction,entry_time,entry_price,exit_time,exit_price,duration,pnl,reason
SHORT,2026-01-01T00:00,2979.81,2026-01-01T01:00,2984.32,1,-0.25,Signal flip
LONG,2026-01-01T01:00,2984.32,2026-01-01T04:00,2975.35,3,-0.4,Signal flip
SHORT,2026-01-01T04:00,2975.35,2026-01-01T05:00,2981.49,1,-0.31,Signal flip
LONG,2026-01-01T05:00,2981.49,2026-01-01T06:00,2975.89,1,-0.29,Signal flip
SHORT,2026-01-01T06:00,2975.89,2026-01-01T09:00,2984.0,3,-0.37,Signal flip
LONG,2026-01-01T09:00,2984.0,2026-01-07T09:00,3200.18,144,7.14,Signal flip
SHORT,2026-01-07T09:00,3200.18,2026-01-10T12:00,3099.46,75,3.15,Signal flip
LONG,2026-01-10T12:00,3099.46,2026-01-10T18:00,3092.85,6,-0.31,Signal flip
SHORT,2026-01-10T18:00,3092.85,2026-01-11T04:00,3098.22,10,-0.27,Signal flip
LONG,2026-01-11T04:00,3098.22,2026-01-12T11:00,3115.43,31,0.46,Signal flip
SHORT,2026-01-12T11:00,3115.43,2026-01-13T05:00,3131.82,18,-0.62,Signal flip
LONG,2026-01-13T05:00,3131.82,2026-01-15T05:00,3310.59,48,5.61,Signal flip
SHORT,2026-01-15T05:00,3310.59,2026-01-15T08:00,3336.45,3,-0.88,Signal flip
LONG,2026-01-15T08:00,3336.45,2026-01-15T18:00,3288.39,10,-1.54,Signal flip
SHORT,2026-01-15T18:00,3288.39,2026-01-17T11:00,3302.72,41,-0.53,Signal flip
LONG,2026-01-17T11:00,3302.72,2026-01-19T00:00,3212.13,37,-2.84,Signal flip
SHORT,2026-01-19T00:00,3212.13,2026-01-21T21:00,3031.47,69,5.86,Signal flip
LONG,2026-01-21T21:00,3031.47,2026-01-22T13:00,2972.76,16,-2.04,Signal flip
SHORT,2026-01-22T13:00,2972.76,2026-01-23T17:00,2987.51,28,-0.59,Signal flip
LONG,2026-01-23T17:00,2987.51,2026-01-23T21:00,2943.98,4,-1.56,Signal flip
SHORT,2026-01-23T21:00,2943.98,2026-01-23T22:00,2960.02,1,-0.64,Signal flip
LONG,2026-01-23T22:00,2960.02,2026-01-24T23:00,2953.22,25,-0.33,Signal flip
SHORT,2026-01-24T23:00,2953.22,2026-01-26T10:00,2896.28,35,1.87,Signal flip
LONG,2026-01-26T10:00,2896.28,2026-01-29T02:00,2959.23,64,2.07,Signal flip
SHORT,2026-01-29T02:00,2959.23,2026-02-02T15:00,2372.71,109,24.62,Signal flip
LONG,2026-02-02T15:00,2372.71,2026-02-03T08:00,2315.77,17,-2.5,Signal flip
SHORT,2026-02-03T08:00,2315.77,2026-02-04T08:00,2279.73,24,1.48,Signal flip
LONG,2026-02-04T08:00,2279.73,2026-02-04T09:00,2260.65,1,-0.94,Signal flip
SHORT,2026-02-04T09:00,2260.65,2026-02-06T16:00,2036.17,55,10.92,Signal flip
LONG,2026-02-06T16:00,2036.17,2026-02-09T01:00,2070.89,57,1.61,Signal flip
SHORT,2026-02-09T01:00,2070.89,2026-02-09T18:00,2130.67,17,-2.91,Signal flip
LONG,2026-02-09T18:00,2130.67,2026-02-10T05:00,2053.07,11,-3.74,Signal flip
SHORT,2026-02-10T05:00,2053.07,2026-02-12T06:00,1975.06,49,3.85,Signal flip
LONG,2026-02-12T06:00,1975.06,2026-02-12T16:00,1909.18,10,-3.44,Signal flip
